Model;Scenario;Region;Variable;Unit;1970;1975;1980;1985;1990;1995;2000;2005;2010;2015;2020;2025;2030;2035;2040;2045;2050;2055;2060;2065;2070
IMAGE-GNMoct2020;SSP2_oct2020;2;aquaculture;Not specified;1284142.49649;2030442.85786;2991717.02727;5680746.04097;12666336.0238;25246301.1702;39543592.5404;52809984.761;75778020.0697;100155319.173;104530166.562;100835342.328;108642544.027;118490450.207;117716618.57;116491914.211;120650478.753;133094489.497;149702308.427;164067866.881;170932886.876
IMAGE-GNMoct2020;SSP2_oct2020;3;aquaculture;Not specified;2126299.21388;3249695.12449;4621911.99959;5124826.96192;5384539.50226;4793407.25942;2928508.44266;2412095.84046;2313997.05224;1962406.83272;2092208.21789;1995665.55056;2078065.43448;2252017.37306;2169264.64318;2305897.46559;2271754.52308;2329790.26338;2508425.14202;2306075.13852;2443316.63653
IMAGE-GNMoct2020;SSP2_oct2020;1;veg_flooding;Not specified;155927231.194;157058739.673;141287485.979;144757324.112;140739319.295;134838740.107;136701777.951;123310820.674;148081708.532;145551209.258;136171133.698;133412658.466;125684352.383;155552786.806;144915551.525;131573883.783;128546544.352;115619047.389;141982656.8;132467446.09;127670913.159
IMAGE-GNMoct2020;SSP2_oct2020;2;veg_flooding;Not specified;134184918.585;158781534.78;119462056.52;107456195.389;122989167.895;114292415.801;148280743.889;134789617.591;125414242.235;113469619.74;100016426.946;126488186.265;115228148.691;108002618.148;99168317.7582;90029128.9409;122272506.468;106180959.191;99737069.2836;85526545.1827;75596258.245
IMAGE-GNMoct2020;SSP2_oct2020;3;veg_flooding;Not specified;32785590.4183;37324862.8526;34865904.7777;33574305.2019;34581275.3256;35320039.8418;31742371.0113;31777228.8565;35453185.6205;32413068.7525;32535487.9177;28255690.3662;28438143.5166;34375335.9328;34387963.792;33940774.5903;28815579.8963;28867152.3696;32673315.7136;30882489.68;30931597.7851
IMAGE-GNMoct2020;SSP3_oct2020;1;pload;Not specified;1510570372.51;1701295554.82;1735905302.63;1719644630.75;1783324352.06;1834366889.52;1823573860.97;1846214890.61;2073771043.14;2210849609.15;2336107027.33;2359640367.51;2486078093.47;2854692621.5;2933869759.73;2986191488.44;2898683744.23;3077325329.08;3516414854.98;3538924177.98;3688686808.57
IMAGE-GNMoct2020;SSP3_oct2020;2;pload;Not specified;830099859.212;894791928.495;861655615.702;951609292.932;1066230158.3;1105489965.17;1220680891.93;1346459216.45;1507955635.08;1683462732.04;1666316050.79;1743953896.64;1961592228.95;2046886496.82;2010009918.03;1806962714.84;1833940692.25;1866095546.36;1994031515.49;1997022916.59;1989819414.73
IMAGE-GNMoct2020;SSP3_oct2020;3;pload;Not specified;1055681005.26;1067532751.76;1092138316.57;1016333372.17;914635335.206;909372269.674;820536249.617;791996668.61;824512000.422;709401510.236;757804730.468;687026339.014;721050777.946;850079843.363;757540331.834;797844278.058;726661150.028;729742124.844;824861522.431;683739184.448;755931333.378
IMAGE-GNMoct2020;SSP3_oct2020;1;sro_nat;Not specified;103912165.794;104207428.611;98399669.0667;93583544.2726;93120250.4936;92719301.9823;90409582.6126;87743802.0945;90481769.1067;90789729.0006;90798218.7652;86498651.4998;82600072.2777;84126176.4763;82410826.2074;80374264.2664;74762234.634;74257026.9753;75419884.8294;72427103.0233;74309552.7525
IMAGE-GNMoct2020;SSP3_oct2020;2;sro_nat;Not specified;106236256.1;107146044.927;99928808.1791;100000317.603;99098524.7282;95085007.2217;101976609.629;97827887.912;100547679.371;98722778.0694;95891473.0998;100919828.166;97090865.5022;100734884.848;96350670.9933;92495899.0622;96926876.8648;92513733.1061;97055146.2933;92750428.1361;91941477.9035
IMAGE-GNMoct2020;SSP3_oct2020;3;sro_nat;Not specified;62331639.8038;68679621.1776;68640939.7297;68149036.1688;66858304.1154;69063049.9246;67532070.1743;72793761.9574;72258880.27;68779749.9881;69947504.6166;66233607.4722;69659268.4796;70576729.8904;67313830.7775;68547393.7395;65624594.6742;68450408.2287;68810558.1944;63319626.6969;64931882.0137
