Model;Scenario;Region;Variable;Unit;1970;1975;1980;1985;1990;1995;2000;2005;2010;2015;2020;2025;2030;2035;2040;2045;2050;2055;2060;2065;2070
IMAGE-GNM;SSP1_oct2020;ROW;rPrunoff_arable;kgP/yr;1487190232.18;1715107902.72;1859151468.14;1947374788.11;2012449396.9;2051124347.42;2077421462.31;2159312856.66;2228790787.24;2345941871.22;2456070722.06;2521329134.63;2630142674.16;2690060518.06;2740901161.99;2739868774.66;2767224478.82;2822948123.09;2905869893.5;2969901629.77;3035969166.96
IMAGE-GNM;SSP1_oct2020;WRLD;rPrunoff_arable;kgP/yr;3158073547.23;3435130842.64;3670737343.41;3880920726.87;4039907316.2;4094723037.0;4115327584.59;4254659507.27;4354624408.55;4562538048.54;4639244031.82;4676725362.04;4813782912.62;4837244212.88;4842444988.66;4791169405.36;4784828534.22;4858582558.27;4947446284.28;5007795296.11;5077289276.9
IMAGE-GNM;SSP1_oct2020;BRIC;rPrunoff_grass;kgP/yr;196255356.405;203774973.635;212371586.645;224085370.73;235367370.077;245533034.057;253317214.745;251409759.47;253740748.434;255577971.875;259478069.137;259479462.35;259978762.539;257482973.921;254554922.877;246062167.312;236766491.548;235367291.853;234414976.63;229249839.981;224792453.925
IMAGE-GNM;SSP1_oct2020;INDUS;rPrunoff_grass;kgP/yr;139856563.061;137820927.065;136406066.95;134495359.061;129117368.587;126425732.874;122324694.297;119848983.166;115983022.602;113178566.341;111192232.994;106490765.217;105084528.875;101702738.573;98180953.2311;94813784.8352;90511150.6276;90882823.8611;91571947.1211;90610198.8709;90573684.9175
IMAGE-GNM;SSP1_oct2020;ROW;rPrunoff_grass;kgP/yr;397262333.732;400600251.089;411819611.367;419018166.537;424992794.675;430247240.334;436725675.282;436909625.704;442067155.411;442345352.638;449008879.476;451297892.776;452995393.818;447347716.394;439324974.279;426297890.164;412887355.771;409598350.951;410449784.043;405910209.105;403217562.715
IMAGE-GNM;SSP1_oct2020;WRLD;rPrunoff_grass;kgP/yr;733374253.198;742196151.788;760597264.962;777598896.329;789477533.339;802206007.263;812367584.324;808168368.34;811790926.447;811101890.854;819679181.607;817268120.344;818058685.232;806533428.889;792060850.388;767173842.312;740164997.945;735848466.666;736436707.794;725770247.957;718583701.558
IMAGE-GNM;SSP1_oct2020;BRIC;rPrunoff_nat;kgP/yr;223327344.104;221427398.052;219286215.518;214335798.736;211061030.052;208440131.65;207351737.685;208677104.329;208956411.954;208212880.543;207727310.661;208048672.568;208378657.722;209705674.597;211514839.908;214673904.299;217746918.195;218534898.034;219343790.322;221070704.896;222643297.98
IMAGE-GNM;SSP1_oct2020;INDUS;rPrunoff_nat;kgP/yr;141291094.4;142753124.661;143220743.333;143584631.213;144536533.608;145047339.509;145642859.048;146616744.889;147766788.746;148380691.573;148271018.131;147802716.353;147470947.472;148816900.204;149912290.841;150556684.73;151394560.704;151187432.511;150967115.066;150744594.413;150588629.082
IMAGE-GNM;SSP1_oct2020;ROW;rPrunoff_nat;kgP/yr;259836596.064;255300059.076;251166278.459;248411313.165;246382082.349;243384051.336;242180892.239;241474828.009;240764793.762;239373682.112;236377838.433;234284495.12;232289230.122;233319134.006;235517420.155;239545111.451;243582838.617;243706994.573;243401977.442;243936086.424;244438284.546
IMAGE-GNM;SSP1_oct2020;WRLD;rPrunoff_nat;kgP/yr;624455034.568;619480581.789;613673237.309;606331743.114;601979646.008;596871522.496;595175488.972;596768677.228;597487994.461;595967254.228;592376167.224;590135884.042;588138835.315;591841708.807;596944550.904;604775700.479;612724317.516;613429325.119;613712882.831;615751385.733;617670211.608
IMAGE-GNM;SSP1_oct2020;BRIC;rPdelivery;kgP/yr;1862334224.47;1972869858.62;1991287317.02;2146010666.14;2362223575.48;2469718903.52;2618358041.09;2843293127.76;3092088909.59;3321131157.95;3410825834.51;3428940168.28;3443469448.75;3368959588.41;3193265225.41;2991481259.82;2924249086.14;2893183565.55;2841732853.43;2714969889.48;2691745295.9
IMAGE-GNM;SSP1_oct2020;INDUS;rPdelivery;kgP/yr;1859410008.13;1868325619.82;1882498445.71;1823452041.51;1754917622.4;1689662617.04;1627344759.57;1553485544.37;1496345173.17;1477547118.99;1449872875.57;1420989466.61;1412229131.03;1398911661.68;1328854079.11;1284281422.14;1235915980.35;1252557945.27;1294174822.19;1287985755.26;1302424768.64
IMAGE-GNM;SSP1_oct2020;ROW;rPdelivery;kgP/yr;3355645115.5;3640066712.8;3766799630.65;3909231947.76;4026971269.27;4120099316.85;4208288396.42;4306398578.47;4604039122.66;4876799602.36;5113114823.32;5300738369.04;5499605495.86;5871493751.01;5992055007.06;5909681016.28;5937481577.54;5947777290.48;6252211697.07;6202240263.79;6147755526.01
IMAGE-GNM;SSP1_oct2020;WRLD;rPdelivery;kgP/yr;7077389348.1;7481262191.24;7640585393.39;7878694655.39;8144112467.16;8279480837.41;8453991197.08;8703177250.61;9192473205.43;9675477879.29;9973813533.39;10150668003.9;10355304075.6;10639365001.1;10514174311.6;10185443698.2;10097646644.0;10093518801.3;10388119372.7;10205195908.5;10141925590.5
IMAGE-GNM;SSP1_oct2020;BRIC;rPdelivery_agri;kgP/yr;962478929.979;1018077423.04;1085749578.66;1225789707.79;1368243841.92;1429590000.79;1451876785.48;1534659999.08;1608953658.38;1689714902.38;1676019509.61;1636285033.24;1643488053.12;1630533931.1;1613597349.85;1571290109.72;1540616011.75;1546315463.56;1541869940.28;1521628797.39;1511368012.42
IMAGE-GNM;SSP1_oct2020;INDUS;rPdelivery_agri;kgP/yr;1044516304.54;1043541417.58;1074613950.21;1066336960.75;1023698816.05;985967455.714;961671245.838;931945394.165;886603733.968;895637813.161;877824102.277;885081421.726;905215476.761;875835476.223;840682352.932;820886473.126;804265685.824;815569087.333;825693374.248;836124907.804;845318236.367
IMAGE-GNM;SSP1_oct2020;ROW;rPdelivery_agri;kgP/yr;1884452565.92;2115708153.81;2270971079.5;2366392954.65;2437442191.57;2481371587.75;2514147137.59;2596222482.37;2670857942.65;2788287223.86;2905079601.54;2972627027.41;3083138067.97;3137408234.45;3180226136.27;3166166664.82;3180111834.59;3232546474.04;3316319677.54;3375811838.87;3439186729.67
IMAGE-GNM;SSP1_oct2020;WRLD;rPdelivery_agri;kgP/yr;3891447800.43;4177326994.43;4431334608.37;4658519623.2;4829384849.54;4896929044.26;4927695168.92;5062827875.61;5166415335.0;5373639939.39;5458923213.43;5493993482.38;5631841597.85;5643777641.77;5634505839.05;5558343247.67;5524993532.16;5594431024.94;5683882992.07;5733565544.07;5795872978.46
IMAGE-GNM;SSP1_oct2020;BRIC;rPdelivery_point;kgP/yr;130993772.625;153695351.288;176396929.95;209185491.101;241974052.253;289765635.82;337557219.388;478978954.627;620400689.865;728282483.56;808676937.49;791122655.527;773568373.563;680521417.969;587474462.374;476280194.393;365085926.412;307244009.979;249402093.546;210659732.409;171917371.272
IMAGE-GNM;SSP1_oct2020;INDUS;rPdelivery_point;kgP/yr;469382543.644;454216702.819;439050861.993;402459920.051;365868978.108;332180717.344;298492456.581;259500964.76;220509472.94;211196557.356;201262422.255;172230373.181;143198324.106;121193029.036;99187733.9653;82282376.6273;65377019.2894;60542070.507;55707121.7246;54038554.0545;52369986.3844
IMAGE-GNM;SSP1_oct2020;ROW;rPdelivery_point;kgP/yr;179366375.538;227050426.129;274734476.72;320420160.183;366105843.645;424004249.43;481902655.215;549370283.201;616837911.186;715360509.328;808543863.332;921658861.614;1034773859.9;1131999844.47;1229225829.04;1282014961.79;1334804094.55;1346569980.8;1358335867.04;1298786127.76;1239236388.48
IMAGE-GNM;SSP1_oct2020;WRLD;rPdelivery_point;kgP/yr;779742691.807;834962480.235;890182268.663;932065571.334;973948874.006;1045950602.59;1117952331.18;1287850202.59;1457748073.99;1654839550.24;1818483223.08;1885011890.32;1951540557.57;1933714291.47;1915888025.38;1840577532.81;1765267040.25;1714356061.28;1663445082.31;1563484414.23;1463523746.14
IMAGE-GNM;SSP1_oct2020;BRIC;rPdelivery_aqua;kgP/yr;1838322.13243;2796512.13468;4199166.85819;8115240.84124;18105627.4808;36681737.8124;58695683.1263;78074748.5493;109894731.134;139986342.175;149980607.961;150381577.869;142724418.399;144936412.132;147172563.427;152395450.715;155663500.13;159295179.421;163366904.168;167968006.902;173202682.984
IMAGE-GNM;SSP1_oct2020;INDUS;rPdelivery_aqua;kgP/yr;2674588.94631;4096281.29238;5747509.42586;6541681.92184;7177070.93001;6383642.43072;4071023.15094;3575402.94383;3156707.32588;2940378.85829;3139567.12419;3119726.27337;2949755.60635;2960978.7336;2972218.09269;2985776.19658;2949486.23592;2907044.35707;2857919.093;2801583.04477;2737522.22844
IMAGE-GNM;SSP1_oct2020;ROW;rPdelivery_aqua;kgP/yr;3476474.21582;4394781.05292;5618889.00412;8583853.95305;11897989.1645;15786841.8291;17299739.7282;28160725.7127;33857168.537;52761983.4897;56946088.0359;59213130.4346;57849519.3454;59246991.2983;60672072.5611;64369690.6334;66499495.2994;68444814.8073;70156467.5219;71579935.6355;72655360.8578
IMAGE-GNM;SSP1_oct2020;WRLD;rPdelivery_aqua;kgP/yr;7989385.29455;11287574.48;15565565.2882;23240776.7161;37180687.5752;58852222.0723;80066446.0054;109810877.206;146908606.997;195688704.523;210066263.121;212714434.576;203523693.351;207144382.163;210816854.081;219750917.545;225112481.665;230647038.585;236381290.783;242349525.582;248595566.07
IMAGE-GNM;SSP1_oct2020;BRIC;rPdelivery_nat;kgP/yr;767023199.73;798300572.15;724941641.556;702920226.399;733900053.829;713681529.091;770228353.092;751579425.503;752839830.203;763147429.835;776148779.45;851150901.649;883688603.667;912967827.206;845020849.759;791515504.995;862883647.847;880328912.595;887093915.434;814713352.776;835257229.226
IMAGE-GNM;SSP1_oct2020;INDUS;rPdelivery_nat;kgP/yr;342836571.004;366471218.13;363086124.079;348113478.783;358172757.319;365130801.554;363110033.997;358463782.505;386075258.937;367772369.616;367646783.915;360557945.426;360865574.553;398922177.692;386011774.122;378126796.186;363323789.002;373539743.071;409916407.128;395020710.359;401999023.66
IMAGE-GNM;SSP1_oct2020;ROW;rPdelivery_nat;kgP/yr;1288349699.83;1292913351.82;1215475185.43;1213834978.97;1211525244.89;1198936637.84;1194938863.88;1132645087.19;1282486100.29;1320389885.68;1342545270.41;1347239349.58;1323844048.65;1542838680.8;1521930969.2;1397129699.03;1356066153.1;1300216020.83;1507399684.96;1456062361.52;1396677046.99
IMAGE-GNM;SSP1_oct2020;WRLD;rPdelivery_nat;kgP/yr;2398209470.56;2457685142.1;2303502951.06;2264868684.15;2303598056.04;2277748968.49;2328277250.97;2242688295.2;2421401189.43;2451309685.13;2486340833.77;2558948196.66;2568398226.87;2854728685.7;2752963593.07;2566772000.21;2582273589.95;2554084676.5;2804410007.53;2665796424.66;2633933299.88
IMAGE-GNM;SSP1_oct2020;BRIC;rPload_river;kgP/yr;1861675762.75;1972113170.6;1990583508.79;2145283401.57;2361474152.83;2469009514.83;2617620852.88;2842570201.54;3091400077.35;3320701482.7;3410427330.29;3428540605.79;3443072158.15;3368568362.25;3192835343.22;2991080627.42;2923878444.73;2892840410.34;2841363958.34;2714549320.39;2691360621.89
IMAGE-GNM;SSP1_oct2020;INDUS;rPload_river;kgP/yr;1859232636.97;1868139332.32;1882304169.84;1823266317.44;1754743985.2;1689477537.0;1627142992.37;1551069115.22;1494117095.64;1475469494.97;1447069699.05;1419063074.86;1411199036.37;1398067394.44;1328190153.21;1283687014.63;1235385353.71;1251983463.0;1293567586.16;1287306278.47;1301670895.52
IMAGE-GNM;SSP1_oct2020;ROW;rPload_river;kgP/yr;3355303949.06;3639753878.84;3766492933.21;3908942572.5;4026656501.77;4119741389.3;4207984080.25;4306040955.61;4603685029.32;4876646036.27;5112905648.03;5300550328.51;5499379870.85;5871143068.22;5991572756.92;5909196262.0;5936973938.95;5947286069.55;6251682710.26;6201767684.95;6147326140.25
IMAGE-GNM;SSP1_oct2020;WRLD;rPload_river;kgP/yr;7076212348.79;7480006381.76;7639380611.84;7877492291.51;8142874639.8;8278228441.13;8452747925.5;8699680272.37;9189202202.31;9672817013.95;9970402677.36;10148154009.2;10353651065.4;10637778824.9;10512598253.4;10183963904.0;10096237737.4;10092109942.9;10386614254.8;10203623283.8;10140357657.7
IMAGE-GNM;SSP1_oct2020;BRIC;rPload_mouth;kgP/yr;825238859.917;889355579.571;855580011.072;944929479.35;1060397649.56;1098536143.08;1213817220.78;1337932575.69;1498794721.18;1555022836.61;1640477853.62;1643927017.32;1592094885.17;1605573433.75;1531482406.22;1322202433.17;1271968238.18;1241849366.09;1231792031.54;1140604650.09;1126092155.77
IMAGE-GNM;SSP1_oct2020;INDUS;rPload_mouth;kgP/yr;1055532434.46;1067356478.82;1091948772.89;1016127184.84;914432624.798;909170724.771;820344009.896;789770897.058;822482882.003;706562911.372;720375375.274;642564383.582;662780450.312;721106762.842;595722598.088;583816655.841;496482630.506;533174792.185;607737690.619;516436772.527;579510383.116
IMAGE-GNM;SSP1_oct2020;ROW;rPload_mouth;kgP/yr;1482199969.63;1669927091.68;1705147538.39;1693339364.79;1755775635.91;1803139729.57;1788405131.82;1815559420.69;2039293733.56;2093889796.64;2246778531.41;2225809556.0;2342927455.11;2624078880.81;2663654558.51;2527096368.21;2404578262.66;2369234144.32;2610535771.87;2542416685.98;2449068472.84
IMAGE-GNM;SSP1_oct2020;WRLD;rPload_mouth;kgP/yr;3362971264.01;3626639150.08;3652676322.36;3654396028.98;3730605910.27;3810846597.42;3822566362.5;3943262893.45;4360571336.75;4355475544.62;4607631760.3;4512300956.91;4597802790.59;4950759077.4;4790859562.82;4433115457.22;4173029131.34;4144258302.6;4450065494.03;4199458108.6;4154671011.73
IMAGE-GNM;SSP1_oct2020;BRIC;rPconc_mouth;mgP/l;0.0634884800132;0.0602925045881;0.0677652680165;0.0739214399116;0.0795759507052;0.0854295397495;0.0841047442442;0.0979218578105;0.111248385468;0.11270863904;0.121438300368;0.109732105614;0.11133536924;0.112245028784;0.106380592494;0.100326785863;0.0901613832305;0.0900856930357;0.087092581149;0.0822124505803;0.083207246234
IMAGE-GNM;SSP1_oct2020;INDUS;rPconc_mouth;mgP/l;0.150549302155;0.130814283977;0.134940433139;0.132330846135;0.119100066398;0.117341955099;0.107815471518;0.0992484375804;0.0982466574914;0.0927315561885;0.0952954139329;0.0880498960778;0.0867384718385;0.0872932468267;0.075813987656;0.0778870036543;0.0700665066982;0.0695533946567;0.0753901472526;0.0674824109107;0.0740898172778
IMAGE-GNM;SSP1_oct2020;ROW;rPconc_mouth;mgP/l;0.080258511979;0.090356918105;0.0977214318965;0.0974523221099;0.101004763473;0.104921045526;0.102320897384;0.115581997846;0.110869094156;0.111934605707;0.121982429589;0.120331062851;0.137822449569;0.127305025381;0.128739413171;0.138191886537;0.134288040574;0.146752938298;0.136366558563;0.134829020215;0.13897660522
IMAGE-GNM;SSP1_oct2020;WRLD;rPconc_mouth;mgP/l;0.0874014900045;0.0876180501677;0.0957030102829;0.0965809322175;0.0971852271322;0.100835521524;0.0967263684903;0.105636053509;0.108369949898;0.108554037529;0.116687316753;0.110659653167;0.118071803934;0.114660745324;0.111560042122;0.113781921015;0.106727951146;0.110233520409;0.107624081537;0.103989774994;0.10659159166
IMAGE-GNM;SSP1_oct2020;BRIC;rDischarge_mouth;km3/yr;12998.245662;14750.6822888;12625.6419566;12782.8878939;13325.6045346;12858.972977;14432.2086903;13663.2678915;13472.5076223;13796.8380229;13508.735289;14981.27652;14299.9919615;14304.1830106;14396.2575345;13178.9573621;14107.6832742;13785.2007821;14143.4782997;13873.8675473;13533.5827916
IMAGE-GNM;SSP1_oct2020;INDUS;rDischarge_mouth;km3/yr;7011.20775289;8159.32669108;8092.07994588;7678.68727906;7677.85151138;7748.04479783;7608.77820547;7957.5146603;8371.61184925;7619.44412899;7559.39184839;7297.73017577;7641.1358912;8260.73939343;7857.68716971;7495.68770718;7085.87674627;7665.69043563;8061.23495931;7652.90933679;7821.72779482
IMAGE-GNM;SSP1_oct2020;ROW;rDischarge_mouth;km3/yr;18467.8227029;18481.4525185;17449.064195;17376.0802014;17383.0973465;17185.6820576;17478.3956899;15707.9774924;18393.7079046;18706.3668417;18418.8701518;18497.381335;16999.6068306;20612.5317752;20690.2804115;18286.864964;17906.1236754;16144.3727928;19143.5187583;18856.5983935;17622.1635933
IMAGE-GNM;SSP1_oct2020;WRLD;rDischarge_mouth;km3/yr;38477.2761178;41391.4614984;38166.7860975;37837.6553744;38386.5533925;37792.6998325;39519.3825857;37328.7600441;40237.8273762;40122.6489936;39486.9972892;40776.3880308;38940.7346833;43177.4541792;42944.2251157;38961.5100333;39099.6836959;37595.2640105;41348.2320173;40383.3752776;38977.4741798
IMAGE-GNM;SSP1_oct2020;BRIC;rNrunoff;kgN/yr;2950637794.02;3172994245.04;3578687528.9;4031023470.42;4484806099.29;4748856885.06;4779177039.13;5065745337.31;5299471566.45;5547742059.33;5617794339.18;5546138250.08;5468066458.35;5373159544.9;5264435591.34;5098724877.39;4959022783.25;4981449644.63;4964790619.32;4906555300.22;4862553003.55
IMAGE-GNM;SSP1_oct2020;INDUS;rNrunoff;kgN/yr;2864302570.68;2989765106.58;3153653051.77;3223065440.4;3147875426.52;3048880669.81;2988764760.4;2933177402.24;2833253522.09;2915269607.38;2911653577.45;2972609965.75;3034353997.31;2948073974.21;2829710684.23;2765806047.79;2711579391.6;2737852441.24;2772603034.49;2792186036.71;2819813426.05
IMAGE-GNM;SSP1_oct2020;ROW;rNrunoff;kgN/yr;4313905873.65;4869179179.26;5348567698.71;5694282241.61;5914546313.5;6076566929.24;6285308771.05;6547313648.67;6885906361.76;7294322417.09;7649173017.16;7888426883.01;8130044939.65;8275403511.08;8392702674.48;8398965726.82;8462177253.75;8610502920.93;8809684053.97;8972558665.6;9117443537.22
IMAGE-GNM;SSP1_oct2020;WRLD;rNrunoff;kgN/yr;10128846238.3;11031938530.9;12080908279.4;12948371152.4;13547227839.3;13874304484.1;14053250570.6;14546236388.2;15018631450.3;15757334083.8;16178620933.8;16407175098.8;16632465395.3;16596637030.2;16486848950.0;16263496652.0;16132779428.6;16329805006.8;16547077707.8;16671300002.5;16799809966.8
IMAGE-GNM;SSP1_oct2020;BRIC;rNrunoff_agri;kgN/yr;2324495832.57;2548603670.59;2950793741.02;3409532743.83;3865604897.28;4139528024.5;4172095202.19;4446141021.08;4669217674.14;4913067011.36;4981479671.03;4911967768.19;4840223099.26;4744957309.29;4635221453.78;4466472099.4;4324436817.36;4348135325.33;4331255621.73;4270792351.26;4227103020.98
IMAGE-GNM;SSP1_oct2020;INDUS;rNrunoff_agri;kgN/yr;2514840270.25;2631865154.51;2792467285.27;2862691253.19;2784200490.98;2684093928.09;2623160638.66;2561778987.06;2460046312.17;2544629016.8;2544203984.16;2610997636.41;2673897954.81;2583410985.25;2464274551.18;2398475459.35;2344261900.63;2368805711.25;2401729412.93;2423537250.86;2450295599.81
IMAGE-GNM;SSP1_oct2020;ROW;rNrunoff_agri;kgN/yr;3684425009.71;4248223955.86;4728351789.41;5079104187.1;5298448425.92;5462473518.97;5671385427.56;5932386243.1;6268005214.32;6673428077.7;7030067567.85;7275823690.33;7520473742.24;7664431173.28;7778647785.03;7777877104.76;7837329719.64;7985231007.34;8182752373.36;8342704778.96;8488877763.82
IMAGE-GNM;SSP1_oct2020;WRLD;rNrunoff_agri;kgN/yr;8523761112.53;9428692780.95;10471612815.7;11351328184.1;11948253814.2;12286095471.5;12466641268.4;12940306251.2;13397269200.6;14131124105.9;14555751223.0;14798789094.9;15034594796.3;14992799467.8;14878143790.0;14642824663.5;14506028437.6;14702172043.9;14915737408.0;15037034381.1;15166276384.6
IMAGE-GNM;SSP1_oct2020;BRIC;rNrunoff_arable;kgN/yr;1828566887.35;2023690792.59;2395485799.75;2819003601.53;3234069913.98;3474469873.51;3479511724.12;3744444168.87;3949265176.52;4181486431.13;4228074091.66;4167212102.96;4107104339.64;4025080353.1;3932546411.53;3797989685.01;3690213177.85;3720393378.49;3710322846.19;3668712381.54;3644863505.92
IMAGE-GNM;SSP1_oct2020;INDUS;rNrunoff_arable;kgN/yr;2115376690.12;2226288315.34;2384120799.48;2452576075.03;2390586543.09;2313271925.8;2263706389.55;2210437711.97;2120514316.93;2215362761.11;2226482513.4;2319790259.58;2391107214.45;2311294911.94;2204300455.97;2151039407.16;2111609726.58;2134918154.55;2165220045.11;2189516219.34;2216134483.85
IMAGE-GNM;SSP1_oct2020;ROW;rNrunoff_arable;kgN/yr;2860743362.09;3407868701.71;3850940911.5;4179905576.19;4380318129.24;4534956130.91;4724705828.67;4973231305.97;5281695423.89;5679614459.16;6001099388.87;6243050657.19;6490575612.9;6644987077.94;6776679035.44;6804938038.17;6893740637.85;7045017079.42;7236552467.96;7403415004.91;7555195421.89
IMAGE-GNM;SSP1_oct2020;WRLD;rNrunoff_arable;kgN/yr;6804686939.57;7657847809.63;8630547510.73;9451485252.75;10004974586.3;10322697930.2;10467923942.4;10928113186.8;11351474917.3;12076463651.4;12455655993.9;12730053019.7;12988787167.0;12981362343.0;12913525902.9;12753967130.3;12695563542.3;12900328612.5;13112095359.3;13261643605.8;13416193411.7
IMAGE-GNM;SSP1_oct2020;BRIC;rNrunoff_grass;kgN/yr;495928945.216;524912877.999;555307941.268;590529142.303;631534983.299;665058150.989;692583478.068;701696852.209;719952497.626;731580580.232;753405579.368;744755665.231;733118759.625;719876956.195;702675042.243;668482414.393;634223639.506;627741946.842;620932775.536;602079969.727;582239515.063
IMAGE-GNM;SSP1_oct2020;INDUS;rNrunoff_grass;kgN/yr;399463580.133;405576839.176;408346485.793;410115178.16;393613947.891;370822002.283;359454249.107;351341275.091;339531995.242;329266255.696;317721470.759;291207376.827;282790740.363;272116073.304;259974095.208;247436052.196;232652174.056;233887556.705;236509367.822;234021031.521;234161115.961
IMAGE-GNM;SSP1_oct2020;ROW;rNrunoff_grass;kgN/yr;823681647.612;840355254.147;877410877.904;899198610.906;918130296.678;927517388.06;946679598.885;959154937.136;986309790.436;993813618.539;1028968178.98;1032773033.14;1029898129.34;1019444095.33;1001968749.58;972939066.59;943589081.787;940213927.925;946199905.393;939289774.049;933682341.933
IMAGE-GNM;SSP1_oct2020;WRLD;rNrunoff_grass;kgN/yr;1719074172.96;1770844971.32;1841065304.96;1899842931.37;1943279227.86;1963397541.33;1998717326.06;2012193064.43;2045794283.31;2054660454.47;2100095229.11;2068736075.19;2045807629.33;2011437124.83;1964617887.04;1888857533.18;1810464895.35;1801843431.47;1803642048.75;1775390775.3;1750082972.96
IMAGE-GNM;SSP1_oct2020;BRIC;rNrunoff_nat;kgN/yr;626141961.446;624390574.459;627893787.874;621490726.594;619201202.016;609328860.557;607081836.93;619604316.238;630253892.307;634675047.966;636314668.153;634170481.886;627843359.094;628202235.605;629214137.557;632252777.996;634585965.89;633314319.3;633534997.588;635762948.964;635449982.561
IMAGE-GNM;SSP1_oct2020;INDUS;rNrunoff_nat;kgN/yr;349462300.42;357899952.07;361185766.499;360374187.209;363674935.541;364786741.728;365604121.74;371398415.178;373207209.918;370640590.573;367449593.293;361612329.341;360456042.494;364662988.969;365436133.048;367330588.437;367317490.97;369046729.985;370873621.559;368648785.85;369517826.239
IMAGE-GNM;SSP1_oct2020;ROW;rNrunoff_nat;kgN/yr;629480863.946;620955223.396;620215909.297;615178054.511;616097887.585;614093410.277;613923343.498;614927405.567;617901147.433;620894339.39;619105449.315;612603192.684;609571197.416;610972337.805;614054889.454;621088622.069;624847534.109;625271913.587;626931680.617;629853886.634;628565773.395
IMAGE-GNM;SSP1_oct2020;WRLD;rNrunoff_nat;kgN/yr;1605085125.82;1603245749.93;1609295463.66;1597042968.31;1598974025.14;1588209012.56;1586609302.17;1605930136.99;1621362249.66;1626209977.93;1622869710.76;1608386003.91;1597870599.0;1603837562.38;1608705160.06;1620671988.5;1626750990.97;1627632962.88;1631340299.76;1634265621.45;1633533582.19
