"","Study","ScenYear","Model","Scope","Scenario..author.code.","Cropland.scope","Initial_condition","Delta_initial","C_price_cat","Cropland","Rum_meat_crop_feed_water","Dairy_crop_feed_water","Mon_feed_water","Plant_food_water","Yield"
"380","Searchinger et al. (2018)","2050","GlobAgri-WRR","Agriculture","Highly ambitious","Agriculture",1547,28,"No",-0.123699013849117,0.289362852995884,1.18084540767987,0.298229218915637,0.410726361727217,0.318432671081678
"381","Searchinger et al. (2018)","2050","GlobAgri-WRR","Agriculture","Breakthrough technologies","Agriculture",1547,28,"No",-0.260685002947771,0.24336267968408,1.10329822005376,0.252553364289847,0.367246459060557,0.469922737306843
"581","Theurl et al. (2020)","2050","BioBaM","Agriculture","Feed-grain_Crop-high yield_Diet-RICH+mono (0.7+G+HY+RICH+mono)","Agriculture",1341.34687562195,-177.65312437805,"No",0.400787076486688,-1,-1,6.75771472876453,0.799382722110702,0.539325842696629
"583","Theurl et al. (2020)","2050","BioBaM","Agriculture","Feed-grain_Crop-FAO yield_Diet-RICH+mono (0.7+G+FAO+RICH+mono)","Agriculture",1341.34687562195,-177.65312437805,"No",0.471779648335861,-1,-1,6.75771472876453,0.799382722110702,0.411985018726592
"585","Theurl et al. (2020)","2050","BioBaM","Agriculture","Feed-grain_Crop-yield gap closed_Diet-BAU+rumi (0.7+G+YGC+BAU+rumi)","Agriculture",1341.34687562195,-177.65312437805,"No",0.245610552287966,4.88760398458447,3.56060406937877,-1,0.719453346702561,0.771535580524345
"598","Theurl et al. (2020)","2050","BioBaM","Agriculture","Feed-grain_Crop-organic yields_Diet-MEAT+bau (0.7+G+Org+MEAT+bau)","Agriculture",1341.34687562195,-177.65312437805,"No",0.397641263846321,1.47527016968336,3.85104399002227,1.16738323825382,0.340853703311647,0.119850187265918
"600","Theurl et al. (2020)","2050","BioBaM","Agriculture","Feed-grain_Crop-yield gap closed_Diet-MEAT+mono (0.7+G+YGC+MEAT+mono)","Agriculture",1341.34687562195,-177.65312437805,"No",0.204406511599638,-1,-1,4.44480990079633,0.340853703311647,0.771535580524345
"602","Theurl et al. (2020)","2050","BioBaM","Agriculture","Feed-grain_Crop-organic yields_Diet-MEAT+mono (0.7+G+Org+MEAT+mono)","Agriculture",1341.34687562195,-177.65312437805,"No",0.510853300323777,-1,-1,4.44480990079633,0.340853703311647,0.119850187265918
"603","Theurl et al. (2020)","2050","BioBaM","Agriculture","Feed-grain_Crop-high yield_Diet-VEGET+rumi (0.7+G+HY+VEGET+rumi)","Agriculture",1341.34687562195,-177.65312437805,"No",-0.284496484952221,-1,4.68538982570672,-1,0.544222259855059,0.539325842696629
"605","Theurl et al. (2020)","2050","BioBaM","Agriculture","Feed-grain_Crop-FAO yield_Diet-VEGET+rumi (0.7+G+FAO+VEGET+rumi)","Agriculture",1341.34687562195,-177.65312437805,"No",-0.203175617410885,-1,4.68538982570672,-1,0.544222259855059,0.411985018726592
"606","Theurl et al. (2020)","2050","BioBaM","Agriculture","Feed-grain_Crop-organic yields_Diet-VEGET+rumi (0.7+G+Org+VEGET+rumi)","Agriculture",1341.34687562195,-177.65312437805,"No",0.0177365658078539,-1,4.68538982570672,-1,0.544222259855059,0.119850187265918
"630","Theurl et al. (2020)","2050","BioBaM","Agriculture","Feed-rough_Crop-yield gap closed_Diet-MEAT+mono (0.7+R+YGC+MEAT+mono)","Agriculture",1341.34687562195,-177.65312437805,"No",0.110676914340907,-1,-1,3.04745665239685,0.340853703311647,0.771535580524345
"632","Theurl et al. (2020)","2050","BioBaM","Agriculture","Feed-rough_Crop-organic yields_Diet-MEAT+mono (0.7+R+Org+MEAT+mono)","Agriculture",1341.34687562195,-177.65312437805,"No",0.427875734858144,-1,-1,3.04745665239685,0.340853703311647,0.119850187265918
"648","Tilman & Clark (2014)","2050","Tilman & Clark (2014)","Food","BAU-2050 - all measures","Agriculture",1549.1997,30.1996999999999,"No",-0.0327005848131865,0.190277767367607,0.358679010535867,0.604468995418251,0.430919333797198,0.585489283015361
"649","Tilman & Clark (2014)","2050","Tilman & Clark (2014)","Food","Med - all measures","Agriculture",1549.1997,30.1996999999999,"No",-0.279361848515603,-0.593590721889878,0.635664539789347,-0.0771070394863398,0.0488685449082171,0.585489283015361
"650","Tilman & Clark (2014)","2050","Tilman & Clark (2014)","Food","Pesc - all measures","Agriculture",1549.1997,30.1996999999999,"No",-0.296641215871685,-1,0.124647638399701,0.0800713178896275,0.0782770628592488,0.585489283015361
"651","Tilman & Clark (2014)","2050","Tilman & Clark (2014)","Food","Veg - all measures","Agriculture",1549.1997,30.1996999999999,"No",-0.263207796782322,-1,0.60641959663753,-0.693741863663287,0.148307418555592,0.585489283015361
"652","Tilman & Clark (2014)","2050","Tilman & Clark (2014)","Food","BAU-2050 - High yield gap closure","Agriculture",1549.1997,30.1996999999999,"No",0.416279243897113,1.06330058851351,1.15247013621323,1.08879137713706,0.498344852143663,0.585489283015361
"653","Tilman & Clark (2014)","2050","Tilman & Clark (2014)","Food","Med - high yield gap closure","Agriculture",1549.1997,30.1996999999999,"No",0.144034222744699,-0.295505195769159,1.59128097766885,0.164883580537116,0.0982916700609604,0.585489283015361
