"","Study","ScenYear","Model","Scope","Scenario..author.code.","Initial_condition","Delta_initial","CH4","Rum_meat_kcal_GHG","Dairy_kcal_GHG","All_feed_water","Plant_kcal_GHG","Yield","GHG_eff_CH4"
"293","Muller et al. (2017)","2050","SOLm","Agriculture","50Conc_100Org",146.546553302067,12.0214712020672,0.178487534318603,-0.0790000780860239,-0.0598501098246366,-0.917731423977575,0.610758680473217,0.346341463414634,0
"343","Roos et al. (2017) No pasture","2050","Roos et al. (2017) No pasture","Agriculture","EL PD",150.4,15.8749179,0.181564399655444,1.57646313398954,-0.521092056109457,-1,0.604997484325892,0,0.1
"344","Roos et al. (2017) No pasture","2050","Roos et al. (2017) No pasture","Agriculture","WR: INT PD",150.4,15.8749179,-0.0205216357207969,1.0577964465023,-0.818764076460457,-0.470243022293115,0.418891657663435,0,0.1
"347","Roos et al. (2017) No pasture","2050","Roos et al. (2017) No pasture","Agriculture","YGR: INT PD",150.4,15.8749179,0.105997546752979,1.51276037744797,-0.790602086845618,-0.41665993468112,0.500065574761508,0.678530729004408,0.1
"349","Roos et al. (2017) No pasture","2050","Roos et al. (2017) No pasture","Agriculture","YGR: IDP PD",150.4,15.8749179,-0.63825170496259,-0.832193558450072,-0.429648632209665,-0.888808891913659,0.500065574761508,0.678530729004408,0.1
"351","Roos et al. (2017) No pasture","2050","Roos et al. (2017) No pasture","Agriculture","YGR: IDA PD",150.4,15.8749179,-0.65519056391244,-0.832193558450072,-0.429648632209665,-0.888808891913659,0.500065574761508,0.678530729004408,0.1
"352","Roos et al. (2017) No pasture","2050","Roos et al. (2017) No pasture","Agriculture","YGR: EL PD",150.4,15.8749179,0.181564399655444,1.57646313398954,-0.521092056109457,-1,0.604997484325892,0.678530729004408,0.1
"355","Roos et al. (2017) No pasture","2050","Roos et al. (2017) No pasture","Agriculture","YGR+WR EL PD",150.4,15.8749179,0.185022361123524,1.18552928444765,-0.614145605255189,-1,0.516890153155653,0.678530729004408,0.1
"360","Searchinger et al. (2018)","2050","GlobAgri-WRR","Agriculture","Breakthrough technologies",109.997,-24.5280821,-0.420653000815464,0.0539052438824414,0.257207464700195,0.147916596435725,0.367246459060557,0.469922737306843,0.4034
"404","Stehfest et al. (2009)","2025","IMAGE 2.4","Agriculture","NoAP",154.65,20.1249179,-0.70308975198638,-0.755723708857751,-0.710759824379495,-0.754657376524666,0.481903566592145,0.317784256559767,0
"426","Stehfest et al. (2009)","2040","IMAGE 2.4","Agriculture","NoM",154.65,20.1249179,-0.600986887815167,-1,0.927347092190489,-0.84902323636531,0.694929417411409,0.513119533527697,0
"433","Stehfest et al. (2009)","2045","IMAGE 2.4","Agriculture","NoM",154.65,20.1249179,-0.584030391970392,-1,1.06979763651958,-0.843021162126283,0.768611313824947,0.583090379008746,0
"440","Stehfest et al. (2009)","2050","IMAGE 2.4","Agriculture","NoM",154.65,20.1249179,-0.546032418351925,-1,1.21396134552101,-0.837893255774164,0.836292062827328,0.65597667638484,0
"460","Theurl et al. (2020)","2050","BioBaM","Agriculture","Feed-grain_Crop-high yield_Diet-RICH+bau (0.7+G+HY+RICH+bau)",114.85,-19.6750821,0.555894917909202,0.461228047870676,2.90172830651694,2.678137184158,0.799382722110702,0.539325842696629,0
"461","Theurl et al. (2020)","2050","BioBaM","Agriculture","Feed-grain_Crop-yield gap closed_Diet-RICH+bau (0.7+G+YGC+RICH+bau)",114.85,-19.6750821,0.561154200953258,0.461228047870676,2.90172830651694,2.678137184158,0.799382722110702,0.771535580524345,0
"462","Theurl et al. (2020)","2050","BioBaM","Agriculture","Feed-grain_Crop-FAO yield_Diet-RICH+bau (0.7+G+FAO+RICH+bau)",114.85,-19.6750821,0.565536656348544,0.461228047870676,2.90172830651694,2.678137184158,0.799382722110702,0.411985018726592,0
"467","Theurl et al. (2020)","2050","BioBaM","Agriculture","Feed-grain_Crop-high yield_Diet-MEAT+bau (0.7+G+HY+MEAT+bau)",114.85,-19.6750821,0.310900046781245,-0.265810179514501,2.18505391079677,1.26029950681919,0.340853703311647,0.539325842696629,0
"468","Theurl et al. (2020)","2050","BioBaM","Agriculture","Feed-grain_Crop-yield gap closed_Diet-MEAT+bau (0.7+G+YGC+MEAT+bau)",114.85,-19.6750821,0.316121842365411,-0.265810179514501,2.18505391079677,1.26029950681919,0.340853703311647,0.771535580524345,0
"470","Theurl et al. (2020)","2050","BioBaM","Agriculture","Feed-grain_Crop-organic yields_Diet-MEAT+bau (0.7+G+Org+MEAT+bau)",114.85,-19.6750821,0.359257531402289,-0.265810179514501,2.18505391079677,1.26029950681919,0.340853703311647,0.119850187265918,0
"475","Theurl et al. (2020)","2050","BioBaM","Agriculture","Feed-grain_Crop-high yield_Diet-VEGET+bau (0.7+G+HY+VEGET+bau)",114.85,-19.6750821,-0.356290674332003,-1,2.21518596457612,-0.724041503878611,0.544222259855059,0.539325842696629,0
"483","Theurl et al. (2020)","2050","BioBaM","Agriculture","Feed-rough_Crop-high yield_Diet-VEGET+rumi (0.7+R+HY+VEGET+rumi)",114.85,-19.6750821,0.0860769703655615,-1,4.4690754727065,-0.976725516681078,0.544222259855059,0.539325842696629,0
"484","Theurl et al. (2020)","2050","BioBaM","Agriculture","Feed-rough_Crop-yield gap closed_Diet-VEGET+rumi (0.7+R+YGC+VEGET+rumi)",114.85,-19.6750821,0.0925934641484087,-1,4.4690754727065,-0.976725516681078,0.544222259855059,0.771535580524345,0
"485","Theurl et al. (2020)","2050","BioBaM","Agriculture","Feed-rough_Crop-FAO yield_Diet-VEGET+rumi (0.7+R+FAO+VEGET+rumi)",114.85,-19.6750821,0.0993194828691307,-1,4.4690754727065,-0.976725516681078,0.544222259855059,0.411985018726592,0
"486","Theurl et al. (2020)","2050","BioBaM","Agriculture","Feed-rough_Crop-organic yields_Diet-VEGET+rumi (0.7+R+Org+VEGET+rumi)",114.85,-19.6750821,0.13565879031855,-1,4.4690754727065,-0.976725516681078,0.544222259855059,0.119850187265918,0
"550","Valin et al. (2013)","2050","GLOBIOM","Agriculture","CONV-C + FT",89.6,-44.9250821,0.210076612056072,-0.1001997378686,0.252471439274578,0.7081893672821,0.786269088055185,0.777320680380679,0
