"","Study","ScenYear","Model","Scope","Scenario..author.code.","Initial_condition","Delta_initial","CH4","Rum_meat_kcal_GHG","Dairy_kcal_GHG","All_feed_water","Plant_kcal_GHG","Yield","GHG_eff_CH4","rstand"
"258","FAO (2018)","2050","FAO GAPS - ENVISAGE","Agriculture","SSS",145.34,10.8149179,0.287854068117914,0.348384532342686,0.374789959276342,0.329546006905234,0.565122759376736,0.203541941111301,0,1.9174924658602
"267","FOLU (2019)","2050","GLOBIOM","Agriculture","TRANS_noCprice",123.85,-10.6750821,-0.374187099880619,-0.596637774219569,0.400528820486058,-0.449721485580141,0.488798147755222,0.381818181818182,0,-2.20850573160324
"343","Roos et al. (2017) No pasture","2050","Roos et al. (2017) No pasture","Agriculture","EL PD",150.4,15.8749179,0.181564399655444,1.57646313398954,-0.521092056109457,-1,0.604997484325892,0,0.1,-2.82609743892493
"344","Roos et al. (2017) No pasture","2050","Roos et al. (2017) No pasture","Agriculture","WR: INT PD",150.4,15.8749179,-0.0205216357207969,1.0577964465023,-0.818764076460457,-0.470243022293115,0.418891657663435,0,0.1,-2.32803568266272
"347","Roos et al. (2017) No pasture","2050","Roos et al. (2017) No pasture","Agriculture","YGR: INT PD",150.4,15.8749179,0.105997546752979,1.51276037744797,-0.790602086845618,-0.41665993468112,0.500065574761508,0.678530729004408,0.1,-2.84367175970841
"349","Roos et al. (2017) No pasture","2050","Roos et al. (2017) No pasture","Agriculture","YGR: IDP PD",150.4,15.8749179,-0.63825170496259,-0.832193558450072,-0.429648632209665,-0.888808891913659,0.500065574761508,0.678530729004408,0.1,1.98363436357838
"351","Roos et al. (2017) No pasture","2050","Roos et al. (2017) No pasture","Agriculture","YGR: IDA PD",150.4,15.8749179,-0.65519056391244,-0.832193558450072,-0.429648632209665,-0.888808891913659,0.500065574761508,0.678530729004408,0.1,1.65072450340714
"352","Roos et al. (2017) No pasture","2050","Roos et al. (2017) No pasture","Agriculture","YGR: EL PD",150.4,15.8749179,0.181564399655444,1.57646313398954,-0.521092056109457,-1,0.604997484325892,0.678530729004408,0.1,-1.80684909248573
"355","Roos et al. (2017) No pasture","2050","Roos et al. (2017) No pasture","Agriculture","YGR+WR EL PD",150.4,15.8749179,0.185022361123524,1.18552928444765,-0.614145605255189,-1,0.516890153155653,0.678530729004408,0.1,1.8237224008768
"356","Searchinger et al. (2018)","2050","GlobAgri-WRR","Agriculture","No productivity gains after 2010",109.997,-24.5280821,0.582141113511108,0.862967953743291,0.674696740582215,0.548745022318597,0.531476173363463,0,0,0.808098662699148
"360","Searchinger et al. (2018)","2050","GlobAgri-WRR","Agriculture","Breakthrough technologies",109.997,-24.5280821,-0.420653000815464,0.0539052438824414,0.257207464700195,0.147916596435725,0.367246459060557,0.469922737306843,0.4034,-0.944910771831481
"426","Stehfest et al. (2009)","2040","IMAGE 2.4","Agriculture","NoM",154.65,20.1249179,-0.600986887815167,-1,0.927347092190489,-0.84902323636531,0.694929417411409,0.513119533527697,0,-2.8819785305138
"433","Stehfest et al. (2009)","2045","IMAGE 2.4","Agriculture","NoM",154.65,20.1249179,-0.584030391970392,-1,1.06979763651958,-0.843021162126283,0.768611313824947,0.583090379008746,0,-2.83757369901198
"440","Stehfest et al. (2009)","2050","IMAGE 2.4","Agriculture","NoM",154.65,20.1249179,-0.546032418351925,-1,1.21396134552101,-0.837893255774164,0.836292062827328,0.65597667638484,0,-2.37155349455655
"442","Stehfest et al. (2009)","2050","IMAGE 2.4","Agriculture","Reference - 450ppm",154.65,20.1249179,-0.187939636528681,0.497058224151786,1.21395492327779,0.708940102020982,0.737232108622697,0.588018301009166,0.371429272120856,-1.74635653180587
"461","Theurl et al. (2020)","2050","BioBaM","Agriculture","Feed-grain_Crop-yield gap closed_Diet-RICH+bau (0.7+G+YGC+RICH+bau)",114.85,-19.6750821,0.561154200953258,0.461228047870676,2.90172830651694,2.678137184158,0.799382722110702,0.771535580524345,0,-2.76545656441834
"463","Theurl et al. (2020)","2050","BioBaM","Agriculture","Feed-grain_Crop-high yield_Diet-BAU+bau (0.7+G+HY+BAU+bau)",114.85,-19.6750821,0.056884674406598,-0.159263563663956,0.748404435020184,0.979609161007429,0.719453346702561,0.539325842696629,0,-0.811590091162541
"468","Theurl et al. (2020)","2050","BioBaM","Agriculture","Feed-grain_Crop-yield gap closed_Diet-MEAT+bau (0.7+G+YGC+MEAT+bau)",114.85,-19.6750821,0.316121842365411,-0.265810179514501,2.18505391079677,1.26029950681919,0.340853703311647,0.771535580524345,0,2.4237224971788
"470","Theurl et al. (2020)","2050","BioBaM","Agriculture","Feed-grain_Crop-organic yields_Diet-MEAT+bau (0.7+G+Org+MEAT+bau)",114.85,-19.6750821,0.359257531402289,-0.265810179514501,2.18505391079677,1.26029950681919,0.340853703311647,0.119850187265918,0,2.2925719580741
"475","Theurl et al. (2020)","2050","BioBaM","Agriculture","Feed-grain_Crop-high yield_Diet-VEGET+bau (0.7+G+HY+VEGET+bau)",114.85,-19.6750821,-0.356290674332003,-1,2.21518596457612,-0.724041503878611,0.544222259855059,0.539325842696629,0,-2.62977296907928
"476","Theurl et al. (2020)","2050","BioBaM","Agriculture","Feed-grain_Crop-yield gap closed_Diet-VEGET+bau (0.7+G+YGC+VEGET+bau)",114.85,-19.6750821,-0.34513884905164,-1,2.21518596457612,-0.724041503878611,0.544222259855059,0.771535580524345,0,-2.06178765392372
"477","Theurl et al. (2020)","2050","BioBaM","Agriculture","Feed-grain_Crop-FAO yield_Diet-VEGET+bau (0.7+G+FAO+VEGET+bau)",114.85,-19.6750821,-0.332452471535018,-1,2.21518596457612,-0.724041503878611,0.544222259855059,0.411985018726592,0,-2.35254982402363
"483","Theurl et al. (2020)","2050","BioBaM","Agriculture","Feed-rough_Crop-high yield_Diet-VEGET+rumi (0.7+R+HY+VEGET+rumi)",114.85,-19.6750821,0.0860769703655615,-1,4.4690754727065,-0.976725516681078,0.544222259855059,0.539325842696629,0,1.50867711327784
"484","Theurl et al. (2020)","2050","BioBaM","Agriculture","Feed-rough_Crop-yield gap closed_Diet-VEGET+rumi (0.7+R+YGC+VEGET+rumi)",114.85,-19.6750821,0.0925934641484087,-1,4.4690754727065,-0.976725516681078,0.544222259855059,0.771535580524345,0,1.98556139469471
"485","Theurl et al. (2020)","2050","BioBaM","Agriculture","Feed-rough_Crop-FAO yield_Diet-VEGET+rumi (0.7+R+FAO+VEGET+rumi)",114.85,-19.6750821,0.0993194828691307,-1,4.4690754727065,-0.976725516681078,0.544222259855059,0.411985018726592,0,1.5776566107276
"486","Theurl et al. (2020)","2050","BioBaM","Agriculture","Feed-rough_Crop-organic yields_Diet-VEGET+rumi (0.7+R+Org+VEGET+rumi)",114.85,-19.6750821,0.13565879031855,-1,4.4690754727065,-0.976725516681078,0.544222259855059,0.119850187265918,0,1.8530279706982
"550","Valin et al. (2013)","2050","GLOBIOM","Agriculture","CONV-C + FT",89.6,-44.9250821,0.210076612056072,-0.1001997378686,0.252471439274578,0.7081893672821,0.786269088055185,0.777320680380679,0,2.73837904796714
