"","Study","ScenYear","Model","Scope","Scenario..author.code.","Cropland.scope","Initial_condition","Delta_initial","C_price_cat","Cropland","Population","Rum_meat_kcal_FCR_FCF","Non_rum_kcal_FCR_FCF","Dairy_kcal_FCR_FCF","Vegetal_kcal","Yield","C_price","rstand"
"531","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-FAO yield_Diet-RICH+mono (0.7+G+FAO+RICH+mono)","Agriculture",1341.34687562195,-177.65312437805,"No",0.471779648335861,0.535202016862291,-1,4.05322077717177,-1,0.17208204675783,0.411985018726592,0,-1.3724502283403
"532","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-high yield_Diet-BAU+rumi (0.7+G+HY+BAU+rumi)","Agriculture",1341.34687562195,-177.65312437805,"No",0.210392594303449,0.535202016862291,2.8350679063188,-1,1.97068660624868,0.120017644464049,0.539325842696629,0,1.46680985645785
"534","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-FAO yield_Diet-BAU+rumi (0.7+G+FAO+BAU+rumi)","Agriculture",1341.34687562195,-177.65312437805,"No",0.291859889630838,0.535202016862291,2.8350679063188,-1,1.97068660624868,0.120017644464049,0.411985018726592,0,1.29932251217433
"536","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-yield gap closed_Diet-BAU+bau (0.7+G+YGC+BAU+bau)","Agriculture",1341.34687562195,-177.65312437805,"No",0.104705828166947,0.535202016862291,0.84632685487799,0.13797472287615,0.734581828439696,0.120017644464049,0.771535580524345,0,1.89400808450345
"540","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-yield gap closed_Diet-BAU+mono (0.7+G+YGC+BAU+mono)","Agriculture",1341.34687562195,-177.65312437805,"No",0.127854487657777,0.535202016862291,-1,1.52417367638006,-1,0.120017644464049,0.771535580524345,0,1.72470402738461
"544","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-yield gap closed_Diet-MEAT+bau (0.7+G+YGC+MEAT+bau)","Agriculture",1341.34687562195,-177.65312437805,"No",0.0798735532101183,0.535202016862291,0.612341660899075,0.411790249392461,2.15987338261647,-0.126594618438465,0.771535580524345,0,2.30613112463345
"547","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-high yield_Diet-MEAT+mono (0.7+G+HY+MEAT+mono)","Agriculture",1341.34687562195,-177.65312437805,"No",0.201783906416881,0.535202016862291,-1,2.54664066421998,-1,-0.126594618438465,0.539325842696629,0,1.05893723617498
"551","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-yield gap closed_Diet-VEGET+rumi (0.7+G+YGC+VEGET+rumi)","Agriculture",1341.34687562195,-177.65312437805,"No",-0.29449457660189,0.535202016862291,-1,-1,2.70334963298625,0.00587560652845176,0.771535580524345,0,-1.04228577116531
"554","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-high yield_Diet-VEGET+bau (0.7+G+HY+VEGET+bau)","Agriculture",1341.34687562195,-177.65312437805,"No",-0.229770295381375,0.535202016862291,-1,-0.711488868447907,2.18976721718492,0.00587560652845176,0.539325842696629,0,-2.39029955660455
"563","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-rough_Crop-yield gap closed_Diet-RICH+mono (0.7+R+YGC+RICH+mono)","Agriculture",1341.34687562195,-177.65312437805,"No",0.344007797990703,0.535202016862291,-1,2.75636476263433,-1,0.17208204675783,0.771535580524345,0,2.08319187705862
"574","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-rough_Crop-yield gap closed_Diet-MEAT+bau (0.7+R+YGC+MEAT+bau)","Agriculture",1341.34687562195,-177.65312437805,"No",-0.0928417396651681,0.535202016862291,-0.446164529275008,0.049469116608974,0.158711294919431,-0.126594618438465,0.771535580524345,0,2.31862305713985
