"","Study","ScenYear","Model","Scope","Scenario..author.code.","Initial_condition","Delta_initial","Nsurplus","Rum_feed_all","Mon_feed_water","Plant_food_water","Yield","NUEinc","rstand"
"164","Chang et al. (2021)",2050,"GLOBIOM","Agriculture","Scenario:DietShift_CC:None_Nboundary:No_constrain",143.5708599,9.18085990000003,0.0460073354631625,0.0404902515686387,0.165781434296127,0.666377314640676,0.37234751552795,0.0569511111111112,-2.01268437970906
"166","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","BAU",159.302698812501,24.9126988125013,0.580695571480276,0.791056606780627,0.802978662595083,0.548581554140418,0,-0.0171428571428572,1.69923180905818
"167","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Waste)",159.302698812501,24.9126988125013,0.456812498511128,0.604967179647803,0.617995499144527,0.387307204693961,0,-0.0152380952380953,1.48956826693654
"169","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Feed)",159.302698812501,24.9126988125013,0.343297096209594,0.34329245508547,0.352233996946312,0.548581554140418,0,-0.0190476190476191,-0.478157867263445
"170","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Yield)",159.302698812501,24.9126988125013,0.630105309776285,0.791056606780627,0.802978662595083,0.548581554140418,0.5,-0.0190476190476191,2.82679935968916
"172","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Loss)",159.302698812501,24.9126988125013,0.149281266369105,0.791056606780627,0.802978662595083,0.548581554140418,0,0.182857142857143,-1.45823357917374
"180","Mogollon et al. (2018a)",2030,"IMAGE-GNM","Agriculture","SSP4",112.318631058822,-22.071368941178,0.478544801692525,0.21988169765017,0.131549454520184,0.264042574790913,0.254716981132076,-0.112217792694276,1.81098056265862
"183","Mogollon et al. (2018a)",2040,"IMAGE-GNM","Agriculture","SSP4",112.318631058822,-22.071368941178,0.513441198918637,0.272407588562709,0.175424964163241,0.336412931501056,0.29874213836478,-0.0932015515866988,2.06235757199026
"383","Willet et al. (2019)",2030,"EAT-Lancet","Food","SSP3_BMK_half_w_BMK, 2500kcal",134.3949583,0.00495830000002684,0.119745835988232,0.296379405827073,0.351544203847099,0.236353610811823,0,0,-1.95239258965978
"384","Willet et al. (2019)",2030,"EAT-Lancet","Food","SSP3_BMK_half_w_TECH, 2500kcal",134.3949583,0.00495830000002684,0.0701526666510463,0.296379405827073,0.351544203847099,0.236353610811823,0.228169014084507,0.0331622271880287,-1.95660976600765
