"","Study","ScenYear","Model","Scope","Scenario..author.code.","Cropland.scope","Initial_condition","Delta_initial","C_price_cat","Cropland","Population","Rum_meat_kcal_FCR_FCF","Non_rum_kcal_FCR_FCF","Dairy_kcal_FCR_FCF","Vegetal_kcal","Yield","C_price"
"327","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_40Org_W50_CCyes","Agriculture",1354.61,-164.39,"No",0.492054790634612,0.369906431404335,-0.147518611189274,-0.0155291293116417,-0.0569051545457701,-0.0716417910447761,0.186550813902439,0
"328","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_20Org_W50_CCyes","Agriculture",1354.61,-164.39,"No",0.428753337053325,0.369906431404335,-0.158757073988171,-0.049251165243513,-0.0698296301333703,-0.0688730261734803,0.219622314390244,0
"331","Searchinger et al. (2018)",2050,"GlobAgri-WRR","Agriculture","Highly ambitious","Agriculture",1547,28,"No",-0.123699013849117,0.328571428571429,-0.029511831078367,-0.0228382223215635,0.641496543414954,0.0618370464613462,0.318432671081678,0
"332","Searchinger et al. (2018)",2050,"GlobAgri-WRR","Agriculture","Breakthrough technologies","Agriculture",1547,28,"No",-0.260685002947771,0.328571428571429,-0.0641356174420904,-0.0572178978463517,0.583127692513581,0.0291102380025698,0.469922737306843,0
"404","Springmann et al. (2018)",2050,"EAT-Lancet","Food","TECH_p + QW + BAU + SSP3","Food crops",1262.12729705963,-256.872702940368,"No",-0.19045491972878,0.448260806287294,0.192616389065772,0.181527048356848,0.0593541601674565,0.013145276371598,0.529577464788732,0
"528","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-FAO yield_Diet-RICH+bau (0.7+G+FAO+RICH+bau)","Agriculture",1341.34687562195,-177.65312437805,"No",0.369204436321672,0.535202016862291,2.20897783096225,1.16289636375187,2.87088186487867,0.17208204675783,0.411985018726592,0
"529","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-high yield_Diet-RICH+mono (0.7+G+HY+RICH+mono)","Agriculture",1341.34687562195,-177.65312437805,"No",0.400787076486688,0.535202016862291,-1,4.05322077717177,-1,0.17208204675783,0.539325842696629,0
"530","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-yield gap closed_Diet-RICH+mono (0.7+G+YGC+RICH+mono)","Agriculture",1341.34687562195,-177.65312437805,"No",0.430952227368576,0.535202016862291,-1,4.05322077717177,-1,0.17208204675783,0.771535580524345,0
"531","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-FAO yield_Diet-RICH+mono (0.7+G+FAO+RICH+mono)","Agriculture",1341.34687562195,-177.65312437805,"No",0.471779648335861,0.535202016862291,-1,4.05322077717177,-1,0.17208204675783,0.411985018726592,0
"532","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-high yield_Diet-BAU+rumi (0.7+G+HY+BAU+rumi)","Agriculture",1341.34687562195,-177.65312437805,"No",0.210392594303449,0.535202016862291,2.8350679063188,-1,1.97068660624868,0.120017644464049,0.539325842696629,0
"533","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-yield gap closed_Diet-BAU+rumi (0.7+G+YGC+BAU+rumi)","Agriculture",1341.34687562195,-177.65312437805,"No",0.245610552287966,0.535202016862291,2.8350679063188,-1,1.97068660624868,0.120017644464049,0.771535580524345,0
"534","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-FAO yield_Diet-BAU+rumi (0.7+G+FAO+BAU+rumi)","Agriculture",1341.34687562195,-177.65312437805,"No",0.291859889630838,0.535202016862291,2.8350679063188,-1,1.97068660624868,0.120017644464049,0.411985018726592,0
"544","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-yield gap closed_Diet-MEAT+bau (0.7+G+YGC+MEAT+bau)","Agriculture",1341.34687562195,-177.65312437805,"No",0.0798735532101183,0.535202016862291,0.612341660899075,0.411790249392461,2.15987338261647,-0.126594618438465,0.771535580524345,0
"548","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-yield gap closed_Diet-MEAT+mono (0.7+G+YGC+MEAT+mono)","Agriculture",1341.34687562195,-177.65312437805,"No",0.204406511599638,0.535202016862291,-1,2.54664066421998,-1,-0.126594618438465,0.771535580524345,0
"550","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-high yield_Diet-VEGET+rumi (0.7+G+HY+VEGET+rumi)","Agriculture",1341.34687562195,-177.65312437805,"No",-0.284496484952221,0.535202016862291,-1,-1,2.70334963298625,0.00587560652845176,0.539325842696629,0
"552","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-FAO yield_Diet-VEGET+rumi (0.7+G+FAO+VEGET+rumi)","Agriculture",1341.34687562195,-177.65312437805,"No",-0.203175617410885,0.535202016862291,-1,-1,2.70334963298625,0.00587560652845176,0.411985018726592,0
"553","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-organic yields_Diet-VEGET+rumi (0.7+G+Org+VEGET+rumi)","Agriculture",1341.34687562195,-177.65312437805,"No",0.0177365658078539,0.535202016862291,-1,-1,2.70334963298625,0.00587560652845176,0.119850187265918,0
"554","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-high yield_Diet-VEGET+bau (0.7+G+HY+VEGET+bau)","Agriculture",1341.34687562195,-177.65312437805,"No",-0.229770295381375,0.535202016862291,-1,-0.711488868447907,2.18976721718492,0.00587560652845176,0.539325842696629,0
"556","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-FAO yield_Diet-VEGET+bau (0.7+G+FAO+VEGET+bau)","Agriculture",1341.34687562195,-177.65312437805,"No",-0.148293331236316,0.535202016862291,-1,-0.711488868447907,2.18976721718492,0.00587560652845176,0.411985018726592,0
"557","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-organic yields_Diet-VEGET+bau (0.7+G+Org+VEGET+bau)","Agriculture",1341.34687562195,-177.65312437805,"No",0.0713715700545043,0.535202016862291,-1,-0.711488868447907,2.18976721718492,0.00587560652845176,0.119850187265918,0
"563","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-rough_Crop-yield gap closed_Diet-RICH+mono (0.7+R+YGC+RICH+mono)","Agriculture",1341.34687562195,-177.65312437805,"No",0.344007797990703,0.535202016862291,-1,2.75636476263433,-1,0.17208204675783,0.771535580524345,0
"574","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-rough_Crop-yield gap closed_Diet-MEAT+bau (0.7+R+YGC+MEAT+bau)","Agriculture",1341.34687562195,-177.65312437805,"No",-0.0928417396651681,0.535202016862291,-0.446164529275008,0.049469116608974,0.158711294919431,-0.126594618438465,0.771535580524345,0
"577","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-rough_Crop-yield gap closed_Diet-MEAT+mono (0.7+R+YGC+MEAT+mono)","Agriculture",1341.34687562195,-177.65312437805,"No",0.110676914340907,0.535202016862291,-1,1.63643260492141,-1,-0.126594618438465,0.771535580524345,0
"580","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-rough_Crop-high yield_Diet-VEGET+rumi (0.7+R+HY+VEGET+rumi)","Agriculture",1341.34687562195,-177.65312437805,"No",-0.357327819698622,0.535202016862291,-1,-1,0.358001580817689,0.00587560652845176,0.539325842696629,0
"581","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-rough_Crop-FAO yield_Diet-VEGET+rumi (0.7+R+FAO+VEGET+rumi)","Agriculture",1341.34687562195,-177.65312437805,"No",-0.279238932421732,0.535202016862291,-1,-1,0.358001580817689,0.00587560652845176,0.411985018726592,0
"582","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-rough_Crop-organic yields_Diet-VEGET+rumi (0.7+R+Org+VEGET+rumi)","Agriculture",1341.34687562195,-177.65312437805,"No",-0.0706907017051436,0.535202016862291,-1,-1,0.358001580817689,0.00587560652845176,0.119850187265918,0
"594","Tilman & Clark (2014)",2050,"Tilman & Clark (2014)","Food","BAU-2050 - all measures","Agriculture",1549.1997,30.1996999999999,"No",-0.0327005848131865,0.404558823529412,-0.152561112124413,0.142329511971951,-0.0326649281076438,0.0187678221988221,0.585489283015361,0
"595","Tilman & Clark (2014)",2050,"Tilman & Clark (2014)","Food","Med - all measures","Agriculture",1549.1997,30.1996999999999,"No",-0.279361848515603,0.404558823529412,-0.710649870050379,-0.342930360015403,0.164539720507545,-0.253239859137695,0.585489283015361,0
"596","Tilman & Clark (2014)",2050,"Tilman & Clark (2014)","Food","Pesc - all measures","Agriculture",1549.1997,30.1996999999999,"No",-0.296641215871685,0.404558823529412,-1,-0.231024504067693,-0.199287620027435,-0.232301955036866,0.585489283015361,0
"664","Weindl et al. (2017)",2050,"MAgPIE 3","Agriculture","SSP2-Catch up+Static WP","Agriculture",1389,-130,"No",0.352490535553469,0.337285016232746,0.945880452342488,0.260325630006107,1.44023876404494,0.0425146992311172,0.40906935,0
