"","Study","ScenYear","Model","Scope","Scenario..author.code.","Initial_condition","Delta_initial","Nsurplus","Rum_feed_water","Mon_feed_water","Plant_food_water","Yield","NUEinc","NrecHousehold","rstand"
"140","Chang et al. (2021)",2050,"GLOBIOM","Agriculture","Scenario:Manure_CC:None_Nboundary:No_constrain",143.5708599,9.18085990000003,0.158784268640053,0.412111307622712,0.833515181801934,0.595914157136668,0.483559937888199,0.0299266666666667,0.062311,-2.35887754989544
"141","Chang et al. (2021)",2050,"GLOBIOM","Agriculture","Scenario:Sewage_CC:None_Nboundary:No_constrain",143.5708599,9.18085990000003,0.264562076132113,-0.835676534217585,0.833473362912359,0.595917352270038,0.483640062111801,0.061091111111111,0.162775,1.29613345698681
"143","Chang et al. (2021)",2050,"GLOBIOM","Agriculture","Scenario:DietShift_CC:None_Nboundary:No_constrain",143.5708599,9.18085990000003,0.0460073354631625,-0.877786341990985,0.165781434296127,0.666377314640676,0.37234751552795,0.0569511111111112,0.062655,-1.85201946394125
"144","Chang et al. (2021)",2050,"GLOBIOM","Agriculture","Scenario:NUE_CC:None_Nboundary:No_constrain",143.5708599,9.18085990000003,-0.299015911069004,-0.835676534217585,0.833506642228541,0.595923305941896,0.483578260869565,0.389073333333333,0.062311,-1.99505820989014
"145","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","BAU",159.302698812501,24.9126988125013,0.580695571480276,0.808572323263699,0.802978662595083,0.548581554140418,0,-0.0171428571428572,0,2.31772990390021
"146","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Waste)",159.302698812501,24.9126988125013,0.456812498511128,0.620579399332619,0.617995499144527,0.387307204693961,0,-0.0152380952380953,0,1.89948005107908
"148","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Feed)",159.302698812501,24.9126988125013,0.343297096209594,0.356429242447774,0.352233996946312,0.548581554140418,0,-0.0190476190476191,0,-0.294941823496543
"149","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Volat)",159.302698812501,24.9126988125013,0.454497214808498,0.808572323263699,0.802978662595083,0.548581554140418,0,0.0419047619047619,0,1.34091499902743
"150","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Loss)",159.302698812501,24.9126988125013,0.149281266369105,0.808572323263699,0.802978662595083,0.548581554140418,0,0.182857142857143,0,-1.05249154282442
"158","Mogollon et al. (2018a)",2030,"IMAGE-GNM","Agriculture","SSP4",112.318631058822,-22.071368941178,0.478544801692525,0.251965290538977,0.131549454520184,0.264042574790913,0.254716981132076,-0.112217792694276,0,1.88727717505655
"161","Mogollon et al. (2018a)",2040,"IMAGE-GNM","Agriculture","SSP4",112.318631058822,-22.071368941178,0.513441198918637,0.439546978153925,0.175424964163241,0.336412931501056,0.29874213836478,-0.0932015515866988,0,2.06137154594222
