"","Model","Scenario","Year","CO2_LUC","delta_Cropland","delta_Pasture","Carbon_price","C_price_cat","rstand"
"639","IMAGE 3.2","SSP2_SPA2_45I_D",2045,3817.60899508929,4.74043999999999,-1.79372000000003,22,"Yes",2.89578454927704
"640","IMAGE 3.2","SSP2_SPA2_45I_D",2050,3151.59880646905,7.56759999999999,-1.75172000000002,26,"Yes",2.59294474521466
"643","IMAGE 3.2","SSP2_SPA2_45I_LI",2025,3311.92188988435,5.77080000000001,-23.93432,79,"Yes",2.07649971514016
"651","IMAGE 3.2","SSP2_SPA2_45I_LIRE",2025,3311.9106345406,5.73524000000002,-23.92644,80,"Yes",2.080223073015
"1715","MESSAGEix-GLOBIOM_1.1","EN_NPi2020_450",2025,2542.18817124184,-3.26118449877717,-38.0272122222765,1456.40329279355,"Yes",2.87330814251589
"1731","MESSAGEix-GLOBIOM_1.1","EN_NPi2020_500",2025,2605.95023333333,-4.28741999999997,-38.1682800000001,626.477187975633,"Yes",2.47421132382173
"1990","MESSAGEix-GLOBIOM_1.1","NGFS2_Delayed Transition",2040,1605.27341,-3.61383540000002,-24.2166908,718.49943169235,"Yes",2.11787168269979
"1992","MESSAGEix-GLOBIOM_1.1","NGFS2_Delayed Transition",2050,-811.4719676,-3.25083599999998,-24.0292678000001,1033.2206120082,"Yes",1.37503316629698
"2000","MESSAGEix-GLOBIOM_1.1","NGFS2_Divergent Net Zero Policies",2050,-2648.993516,1.79349080000002,-12.2662122,792.2326088061,"Yes",-1.77972307618706
"2039","MESSAGEix-GLOBIOM_1.2","COV_GreenPush_550",2045,-2057.0382777049,1.16083005056403,-15.379744528526,439.007690889353,"Yes",-1.81574948228058
"2040","MESSAGEix-GLOBIOM_1.2","COV_GreenPush_550",2050,-2649.43343607811,1.20251016858601,-15.669359957126,547.172136119804,"Yes",-1.67066984767122
"2075","MESSAGEix-GLOBIOM_1.2","COV_NoPolicyNoCOVID_550",2025,2625.03633333333,-3.03303999999998,-34.58144,320.15921353503,"Yes",1.79453427062098
"2079","MESSAGEix-GLOBIOM_1.2","COV_NoPolicyNoCOVID_550",2045,-2162.03734324107,-0.529249176660005,-16.46127464293,713.642992901337,"Yes",-1.44955217255878
"2080","MESSAGEix-GLOBIOM_1.2","COV_NoPolicyNoCOVID_550",2050,-2744.69701549095,0.296580596220019,-14.47088284215,887.147168629627,"Yes",-1.51936565718
"2099","MESSAGEix-GLOBIOM_1.2","COV_Restore_550",2025,2748.44946303826,-1.73494567799398,-32.50451533015,204.641042174152,"Yes",1.51191551131164
"2103","MESSAGEix-GLOBIOM_1.2","COV_Restore_550",2045,-2077.28460910827,0.098349638109994,-15.5610596809721,505.678665700589,"Yes",-1.66150977653149
"2104","MESSAGEix-GLOBIOM_1.2","COV_Restore_550",2050,-2672.27734664882,1.05280814419798,-14.961988022258,680.747733289865,"Yes",-1.64000757794661
"2123","MESSAGEix-GLOBIOM_1.2","COV_SelfReliance_550",2025,2729.54283044263,-2.00119624201998,-32.45506586487,214.153309842243,"Yes",1.52654987022901
"2127","MESSAGEix-GLOBIOM_1.2","COV_SelfReliance_550",2045,-2084.59732469109,0.116257560884014,-15.587525223358,522.877735005926,"Yes",-1.65539511479194
"2128","MESSAGEix-GLOBIOM_1.2","COV_SelfReliance_550",2050,-2678.23566094654,1.124786514164,-14.987967132188,733.53588879263,"Yes",-1.61402041788002
"2163","MESSAGEix-GLOBIOM_1.2","COV_SmartUse_550",2025,2752.00619141523,-1.82985185725597,-32.442413702298,176.993096846207,"Yes",1.50063605428026
"2167","MESSAGEix-GLOBIOM_1.2","COV_SmartUse_550",2045,-2071.28974323495,0.76144907902999,-15.008990036668,482.728761843661,"Yes",-1.78627407164612
"2168","MESSAGEix-GLOBIOM_1.2","COV_SmartUse_550",2050,-2667.89071594624,1.10991662015604,-14.6586794666559,652.225805638117,"Yes",-1.68669336550908
"2172","REMIND-MAgPIE 2.1-4.3","DeepElec_SSP2_ HighRE_Budg1100",2030,606.7649,4.57192,-2.95511999999999,97.3595,"Yes",-1.35498111312903
"2180","REMIND-MAgPIE 2.1-4.3","DeepElec_SSP2_ HighRE_Budg1300",2030,610.0817,4.54818,-3.05953999999992,59.5559,"Yes",-1.36720250669972
"2188","REMIND-MAgPIE 2.1-4.3","DeepElec_SSP2_ HighRE_Budg900",2030,453.5651,4.64940000000001,-2.02759999999998,194.9791,"Yes",-1.49729810458301
"2196","REMIND-MAgPIE 2.1-4.3","DeepElec_SSP2_Base",2030,4872.7963,10.44896,0.361779999999999,0,"No",1.1906482982336
"2197","REMIND-MAgPIE 2.1-4.3","DeepElec_SSP2_Base",2035,5494.5743,14.16948,-0.457799999999952,0,"No",1.9173029755996
"2198","REMIND-MAgPIE 2.1-4.3","DeepElec_SSP2_Base",2040,5768.8405,17.18922,-2.66662000000006,0,"No",2.54563450766902
"2204","REMIND-MAgPIE 2.1-4.3","DeepElec_SSP2_Npi",2030,5145.801,8.76705999999999,2.38396000000002,1.4084,"Yes",1.42448266033523
"2205","REMIND-MAgPIE 2.1-4.3","DeepElec_SSP2_Npi",2035,5929.803,14.6331,0.179979999999978,1.7451,"Yes",2.1746711095898
"2206","REMIND-MAgPIE 2.1-4.3","DeepElec_SSP2_Npi",2040,6300.0348,16.88078,-1.56953999999996,2.1497,"Yes",2.92445902858282
"2219","REMIND-MAgPIE 2.1-4.3","DeepElec_SSP2_def_Budg1300",2025,1793.3462,5.77806000000001,1.21971999999996,31.6669,"Yes",-1.4313338417203
"2228","REMIND-MAgPIE 2.1-4.3","DeepElec_SSP2_def_Budg900",2030,829.4777,8.60889999999999,-5.00660000000007,159.2815,"Yes",-1.38145403053288
