"","Model","Scenario","Year","CO2_LUC","delta_Cropland","delta_Pasture","Carbon_price","C_price_cat"
"453","IMAGE 3.2","SSP1_SPA1_26I_LIRE",2035,-3728.24793094514,3.60498000000002,-24.6713199999999,49.7014118318571,"Yes"
"454","IMAGE 3.2","SSP1_SPA1_26I_LIRE",2040,-5380.57599513967,3.40099999999998,-22.74632,47.4193303049725,"Yes"
"455","IMAGE 3.2","SSP1_SPA1_26I_LIRE",2045,-6103.61695593452,1.85944,-26.89476,46.4581311833357,"Yes"
"456","IMAGE 3.2","SSP1_SPA1_26I_LIRE",2050,-7157.16641461349,-0.124679999999989,-23.86576,50.4112221870068,"Yes"
"475","IMAGE 3.2","SSP1_SPA1_34I_LI",2025,3286.30822430128,2.68892000000001,-34.67976,43.1793224468068,"Yes"
"477","IMAGE 3.2","SSP1_SPA1_34I_LI",2035,-3706.12997843738,3.61678000000002,-24.6657200000001,1.74834426391704,"Yes"
"478","IMAGE 3.2","SSP1_SPA1_34I_LI",2040,-5603.14910661455,1.51068,-22.78528,0.847308106641695,"Yes"
"479","IMAGE 3.2","SSP1_SPA1_34I_LI",2045,-6498.26476782031,-0.456240000000025,-26.86676,0,"No"
"480","IMAGE 3.2","SSP1_SPA1_34I_LI",2050,-7470.40831365549,0.876600000000008,-23.92228,0,"No"
"483","IMAGE 3.2","SSP1_SPA1_34I_LIRE",2025,3286.68036093391,2.70142000000001,-34.6696,42.0632048191908,"Yes"
"485","IMAGE 3.2","SSP1_SPA1_34I_LIRE",2035,-3693.19594933388,3.60999999999999,-24.68988,1.20930913470552,"Yes"
"486","IMAGE 3.2","SSP1_SPA1_34I_LIRE",2040,-5603.4497226405,1.23312000000001,-22.79484,0,"No"
"487","IMAGE 3.2","SSP1_SPA1_34I_LIRE",2045,-6448.83077898636,-0.833640000000014,-26.8522,0,"No"
"488","IMAGE 3.2","SSP1_SPA1_34I_LIRE",2050,-7418.40750543165,0.217239999999992,-24.02672,0,"No"
"502","IMAGE 3.2","SSP2-baseline",2040,5651.13926978623,11.09696,4.41592000000001,0,"No"
"503","IMAGE 3.2","SSP2-baseline",2045,6238.68288404834,8.5846,3.88184000000001,0,"No"
"504","IMAGE 3.2","SSP2-baseline",2050,6160.69507158178,10.662,4.00248000000001,0,"No"
"512","IMAGE 3.2","SSP2_SPA0_26I_D",2050,-1782.33627246132,18.61664,-6.75303999999996,114.627976343599,"Yes"
"518","IMAGE 3.2","SSP2_SPA1_19I_D_LB",2040,1164.85704988897,2.10547999999999,-10.9288,695,"Yes"
"519","IMAGE 3.2","SSP2_SPA1_19I_D_LB",2045,-176.197270568335,-5.56271999999999,-12.20564,876,"Yes"
"535","IMAGE 3.2","SSP2_SPA1_19I_RE_LB",2045,-307.315851279222,-4.71352000000002,-12.21904,876,"Yes"
"558","IMAGE 3.2","SSP2_SPA2_19I_LIRE",2040,-2148.50178132118,19.39228,-20.9208,502.302903164724,"Yes"
"567","IMAGE 3.2","SSP2_SPA2_19I_RE",2045,2163.36197674073,11.14952,-11.69964,867.841392697396,"Yes"
"639","IMAGE 3.2","SSP2_SPA2_45I_D",2045,3817.60899508929,4.74043999999999,-1.79372000000003,22,"Yes"
"640","IMAGE 3.2","SSP2_SPA2_45I_D",2050,3151.59880646905,7.56759999999999,-1.75172000000002,26,"Yes"
