"","Study","ScenYear","Model","Scope","Scenario..author.code.","Cropland.scope","Cropland","Population","Rum_meat_kcal_FCR_FCF","Non_rum_kcal_FCR_FCF","Dairy_kcal_FCR_FCF","Vegetal_kcal","Yield","C_price","rstand"
"172","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Volat)","Agriculture",0.51156224750009,0.424375917767988,0.274134119380988,0.265802545595105,0.197080291970803,0.0872000395563139,0,0,0.966323276800136
"173","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Loss)","Agriculture",0.51156224750009,0.424375917767988,0.274134119380988,0.265802545595105,0.197080291970803,0.0872000395563139,0,0,0.966323276800136
"174","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+All)","Agriculture",-0.345778755573821,0.424375917767988,-0.570145541635962,-0.572637993187096,-0.594890510948905,0.0938081766254266,0.5,0,-2.20204869809287
"265","FAO (2018)",2030,"FAO GAPS - ENVISAGE","Agriculture","TSS","Agriculture",-0.0297160141401227,0.197830069043258,-0.0544849093908887,-0.0723470930049581,-0.0204317549282622,0.0740808465594365,0.0319311080219222,0,-1.19952909050143
"268","FAO (2018)",2035,"FAO GAPS - ENVISAGE","Agriculture","TSS","Agriculture",-0.0164010193908189,0.245455826405524,-0.0676039174551486,-0.101437894499942,-0.0265856826021429,0.0799598189285349,0.0557824409914942,0,-1.23163012742108
"271","FAO (2018)",2040,"FAO GAPS - ENVISAGE","Agriculture","TSS","Agriculture",-0.00964489886749943,0.290263491616176,-0.0780356602060841,-0.118779982346073,-0.0349146214065388,0.0857146358079242,0.0871835930221656,0,-1.26558145660493
"274","FAO (2018)",2050,"FAO GAPS - ENVISAGE","Agriculture","TSS","Agriculture",0.00124243970314326,0.370297308721995,-0.0946300723516549,-0.134911245710827,-0.0603783940652788,0.0955256314825872,0.145572189480513,0,-1.33230205249924
"283","Heck et al. (2018)",2050,"LPJmL","Agriculture","SSP2 Optimised - constant ag productivity & diet","Agriculture",0.334323512950918,0.393232415902141,0,-0.0472422777582807,0,0,0,0,-1.2653740045132
"284","Heck et al. (2018)",2050,"LPJmL","Agriculture","SSP2 Optimised - yield gap closure & constant diet","Agriculture",0.084465847368406,0.393232415902141,-0.183246635510992,-0.283690861014425,-0.137365788473763,0,0.5659,0,1.14847030095571
"285","Heck et al. (2018)",2050,"LPJmL","Agriculture","SSP2 Optimised - yield gap & improved diet","Agriculture",0.226300640596589,0.393232415902141,0.0440633587434316,-0.106099259832005,0.102713268670223,0.0472894839044697,0.4829,0,1.17686054057891
"286","Muller et al. (2017)",2050,"SOLm","Agriculture","0Conc_100Org","Agriculture",0.0220926823935463,0.369906431404335,-1,-1,-1,0.239108803807052,0.0951219512195123,0,-2.38587396004131
"321","Muller et al. (2017)",2050,"SOLm","Agriculture","50Conc_20Org_W50","Agriculture",-0.144793366482853,0.369906431404335,-0.653140228183749,-0.799767708617163,-0.625546078635323,0.0345662989400823,0.270731707317073,0,-1.87434632523321
"325","Muller et al. (2017)",2050,"SOLm","Agriculture","50Conc_40Org_CCyes","Agriculture",0.432166121254167,0.369906431404335,-0.540933194085371,-0.698677898423305,-0.52922220783337,0.177547047371837,0.192682926829268,0,2.35614255223654
"331","Muller et al. (2017)",2050,"SOLm","Agriculture","50Conc_40Org_W50_CCyes","Agriculture",0.313610709189788,0.369906431404335,-0.619699172586482,-0.74207758899695,-0.590261673473229,0.0324464633354964,0.202439024390244,0,2.33881318916898
"335","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_80Org","Agriculture",0.341923343046054,0.369906431404335,-0.00423631728170171,0.0999147793597999,0.0399650920808254,0.0674453817867187,0.373170731707317,0,1.99664752644207
"341","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_80Org_W50","Agriculture",0.231235570180814,0.369906431404335,-0.173803709492295,-0.0508609942251682,-0.0949290022698694,-0.0754921046939216,0.391242917560976,0,2.3399401499684
"345","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_60Org_CCyes","Agriculture",0.563796959627955,0.369906431404335,0.0429203818567983,0.183543623939756,0.0995914847343495,0.0678347393467447,0.145050182195122,0,2.32752582068574
"346","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_40Org_CCyes","Agriculture",0.534179722576841,0.369906431404335,0.0268977210084078,0.141282997084548,0.0825401149514851,0.0700410988535582,0.178049392926829,0,2.34149552685953
"347","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_20Org_CCyes","Agriculture",0.508247392121362,0.369906431404335,0.0123741374889306,0.102196715488772,0.0677624289760315,0.07190136275146,0.210863377073171,0,2.38912147769384
"352","Searchinger et al. (2018)",2050,"GlobAgri-WRR","Agriculture","No productivity gains after 2010","Agriculture",0.524181414947546,0.4,0.330691395530922,0.210651853179383,0.196211957558725,0.0939115524024736,0,0,2.22442981688937
"354","Searchinger et al. (2018)",2050,"GlobAgri-WRR","Agriculture","Coordinated effort","Agriculture",0.00258231260347269,0.357142857142857,0.356360179945557,-0.0125012680950715,0.722728435273556,0.079613475000518,0.245996751353849,0,-0.889655638108386
"355","Searchinger et al. (2018)",2050,"GlobAgri-WRR","Agriculture","Highly ambitious","Agriculture",-0.123699013849117,0.328571428571429,-0.029511831078367,-0.0228382223215635,0.641496543414954,0.0618370464613462,0.318432671081678,0,-1.13696667638762
"356","Searchinger et al. (2018)",2050,"GlobAgri-WRR","Agriculture","Breakthrough technologies","Agriculture",-0.260685002947771,0.328571428571429,-0.0641356174420904,-0.0572178978463517,0.583127692513581,0.0291102380025698,0.469922737306843,0,-1.03207415640579
"551","Stevanovic et al. (2017)",2050,"MAgPIE 3","Agriculture","Incentive-based mitigation","Agriculture",0.033227192403235,0.337285016232746,0.915087288156138,0.0678117771499107,-1,0.0675296205627642,0.596460913526497,129.6582713,1.73108843324359
"554","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-high yield_Diet-RICH+bau (0.7+G+HY+RICH+bau)","Agriculture",0.298972816044492,0.535202016862291,2.20897783096225,1.16289636375187,2.87088186487867,0.17208204675783,0.539325842696629,0,-1.33966277030065
"556","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-FAO yield_Diet-RICH+bau (0.7+G+FAO+RICH+bau)","Agriculture",0.369204436321672,0.535202016862291,2.20897783096225,1.16289636375187,2.87088186487867,0.17208204675783,0.411985018726592,0,-1.62699735301807
"557","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-high yield_Diet-RICH+mono (0.7+G+HY+RICH+mono)","Agriculture",0.400787076486688,0.535202016862291,-1,4.05322077717177,-1,0.17208204675783,0.539325842696629,0,-1.33217764051412
"558","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-yield gap closed_Diet-RICH+mono (0.7+G+YGC+RICH+mono)","Agriculture",0.430952227368576,0.535202016862291,-1,4.05322077717177,-1,0.17208204675783,0.771535580524345,0,0.871681540343712
"559","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-FAO yield_Diet-RICH+mono (0.7+G+FAO+RICH+mono)","Agriculture",0.471779648335861,0.535202016862291,-1,4.05322077717177,-1,0.17208204675783,0.411985018726592,0,-1.61143358692124
"560","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-high yield_Diet-BAU+rumi (0.7+G+HY+BAU+rumi)","Agriculture",0.210392594303449,0.535202016862291,2.8350679063188,-1,1.97068660624868,0.120017644464049,0.539325842696629,0,1.70438985273876
"562","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-FAO yield_Diet-BAU+rumi (0.7+G+FAO+BAU+rumi)","Agriculture",0.291859889630838,0.535202016862291,2.8350679063188,-1,1.97068660624868,0.120017644464049,0.411985018726592,0,1.53633872480626
"564","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-yield gap closed_Diet-BAU+bau (0.7+G+YGC+BAU+bau)","Agriculture",0.104705828166947,0.535202016862291,0.84632685487799,0.13797472287615,0.734581828439696,0.120017644464049,0.771535580524345,0,2.02397165788728
"568","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-yield gap closed_Diet-BAU+mono (0.7+G+YGC+BAU+mono)","Agriculture",0.127854487657777,0.535202016862291,-1,1.52417367638006,-1,0.120017644464049,0.771535580524345,0,1.74676821971593
"572","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-yield gap closed_Diet-MEAT+bau (0.7+G+YGC+MEAT+bau)","Agriculture",0.0798735532101183,0.535202016862291,0.612341660899075,0.411790249392461,2.15987338261647,-0.126594618438465,0.771535580524345,0,2.27730840878173
"579","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-high yield_Diet-VEGET+rumi (0.7+G+HY+VEGET+rumi)","Agriculture",-0.284496484952221,0.535202016862291,-1,-1,2.70334963298625,0.00587560652845176,0.539325842696629,0,-2.33158823592553
"583","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-high yield_Diet-VEGET+bau (0.7+G+HY+VEGET+bau)","Agriculture",-0.229770295381375,0.535202016862291,-1,-0.711488868447907,2.18976721718492,0.00587560652845176,0.539325842696629,0,-1.84915861215952
"585","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-FAO yield_Diet-VEGET+bau (0.7+G+FAO+VEGET+bau)","Agriculture",-0.148293331236316,0.535202016862291,-1,-0.711488868447907,2.18976721718492,0.00587560652845176,0.411985018726592,0,-2.01710709116615
"586","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-organic yields_Diet-VEGET+bau (0.7+G+Org+VEGET+bau)","Agriculture",0.0713715700545043,0.535202016862291,-1,-0.711488868447907,2.18976721718492,0.00587560652845176,0.119850187265918,0,-2.05474069685358
"592","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-rough_Crop-yield gap closed_Diet-RICH+mono (0.7+R+YGC+RICH+mono)","Agriculture",0.344007797990703,0.535202016862291,-1,2.75636476263433,-1,0.17208204675783,0.771535580524345,0,1.85571487626403
"595","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-rough_Crop-yield gap closed_Diet-BAU+bau (0.7+R+YGC+BAU+bau)","Agriculture",-0.00517000583397071,0.535202016862291,-0.365791179635374,-0.15407453220894,-0.363936679351742,0.120017644464049,0.771535580524345,0,2.25635685141439
"599","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-rough_Crop-yield gap closed_Diet-BAU+mono (0.7+R+YGC+BAU+mono)","Agriculture",0.0695442479617552,0.535202016862291,-1,0.876371025694628,-1,0.120017644464049,0.771535580524345,0,2.08033750158674
"603","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-rough_Crop-yield gap closed_Diet-MEAT+bau (0.7+R+YGC+MEAT+bau)","Agriculture",-0.0928417396651681,0.535202016862291,-0.446164529275008,0.049469116608974,0.158711294919431,-0.126594618438465,0.771535580524345,0,2.48375455337173
"609","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-rough_Crop-high yield_Diet-VEGET+rumi (0.7+R+HY+VEGET+rumi)","Agriculture",-0.357327819698622,0.535202016862291,-1,-1,0.358001580817689,0.00587560652845176,0.539325842696629,0,-1.61746145031135
"611","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-rough_Crop-FAO yield_Diet-VEGET+rumi (0.7+R+FAO+VEGET+rumi)","Agriculture",-0.279238932421732,0.535202016862291,-1,-1,0.358001580817689,0.00587560652845176,0.411985018726592,0,-1.82137942043498
"612","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-rough_Crop-organic yields_Diet-VEGET+rumi (0.7+R+Org+VEGET+rumi)","Agriculture",-0.0706907017051436,0.535202016862291,-1,-1,0.358001580817689,0.00587560652845176,0.119850187265918,0,-1.97703307083487
"629","Tilman & Clark (2014)",2050,"Tilman & Clark (2014)","Food","BAU-2050 - all measures","Agriculture",-0.0327005848131865,0.404558823529412,-0.152561112124413,0.142329511971951,-0.0326649281076438,0.0187678221988221,0.585489283015361,0,-1.89894352282109
"630","Tilman & Clark (2014)",2050,"Tilman & Clark (2014)","Food","Med - all measures","Agriculture",-0.279361848515603,0.404558823529412,-0.710649870050379,-0.342930360015403,0.164539720507545,-0.253239859137695,0.585489283015361,0,-1.85030044812509
"631","Tilman & Clark (2014)",2050,"Tilman & Clark (2014)","Food","Pesc - all measures","Agriculture",-0.296641215871685,0.404558823529412,-1,-0.231024504067693,-0.199287620027435,-0.232301955036866,0.585489283015361,0,-2.05281632819874
"633","Tilman & Clark (2014)",2050,"Tilman & Clark (2014)","Food","BAU-2050 - High yield gap closure","Agriculture",0.416279243897113,0.404558823529412,0.469002617725039,0.487151226524132,0.532488422809124,0.066772588689866,0.585489283015361,0,1.5175926266847
"699","Weindl et al. (2017)",2050,"MAgPIE 3","Agriculture","SSP2-Catch up+Static WP","Agriculture",0.352490535553469,0.337285016232746,0.945880452342488,0.260325630006107,1.44023876404494,0.0425146992311172,0.40906935,0,1.87752738144691
