"","Study","ScenYear","Model","Scope","Scenario..author.code.","Initial_condition","Delta_initial","Nfert","Rum_feed_water","Mon_feed_water","Plant_food_water","Yield","NUEinc","NrecHousehold"
"163","Chang et al. (2021)",2040,"GLOBIOM","Agriculture","Scenario:Combined_CC:None_Nboundary:No_constrain",100.65,-3.03,-0.57935731426671,0.178952959973194,0.176164869453124,0.35104463600267,0.329192546583851,0.244444444444444,0.11
"165","Chang et al. (2021)",2050,"GLOBIOM","Agriculture","Scenario:Manure_CC:None_Nboundary:No_constrain",100.65,-3.03,0.17354366853184,0.587832687227095,0.833515181801934,0.595914157136668,0.483559937888199,0.0299266666666667,0.062311
"169","Chang et al. (2021)",2050,"GLOBIOM","Agriculture","Scenario:NUE_CC:None_Nboundary:No_constrain",100.65,-3.03,-0.451916371383682,0.587832687227095,0.833506642228541,0.595923305941896,0.483578260869565,0.389073333333333,0.062311
"170","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","BAU",103.01,-0.670000000000002,0.563781451503423,0.774673866958284,0.802978662595083,0.548581554140418,0,-0.0171428571428572,0
"171","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Waste)",103.01,-0.670000000000002,0.428338420212494,0.590364811917498,0.617995499144527,0.387307204693961,0,-0.0152380952380953,0
"172","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Diet)",103.01,-0.670000000000002,0.285154854932523,-0.103866658576462,-0.0919053729388294,0.747332141530787,0,-0.0533333333333334,0
"174","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Yield)",103.01,-0.670000000000002,0.666287382954436,0.774673866958284,0.802978662595083,0.548581554140418,0.5,-0.0190476190476191,0
"175","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Volat)",103.01,-0.670000000000002,0.527728844638434,0.774673866958284,0.802978662595083,0.548581554140418,0,0.0419047619047619,0
"176","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Loss)",103.01,-0.670000000000002,-0.0998637799510073,0.774673866958284,0.802978662595083,0.548581554140418,0,0.182857142857143,0
"177","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+All)",103.01,-0.670000000000002,-0.346835428148315,-0.400626475446402,-0.391275849326701,0.557994025442972,0.5,0.236190476190476,0
"214","Davis et al. (2016)",2045,"Davis et al. (2016)","Food","B",113.84,10.16,0.569924044946649,0.90388643642508,0.748845663353005,0.315662977544534,0,0,0
"217","Davis et al. (2016)",2045,"Davis et al. (2016)","Food","S3",113.84,10.16,-0.0157424798423293,0.0232751487388119,-0.498148230173626,0.229827780561046,0,0,0
"218","Davis et al. (2016)",2050,"Davis et al. (2016)","Food","S1",113.84,10.16,0.61816783584475,1.03071936165399,0.848197541483087,0.343345177878391,0,0,0
"219","Davis et al. (2016)",2050,"Davis et al. (2016)","Food","S2",113.84,10.16,0.538687539914807,0.442087282666737,-0.224572601368033,0.436234020437047,0,0,0
"221","Davis et al. (2016)",2050,"Davis et al. (2016)","Food","S3",113.84,10.16,-0.0522368914121505,0.00167256666744353,-0.599281638662522,0.243041632389015,0,0,0
"230","Mogollon et al. (2018a)",2020,"IMAGE-GNM","Agriculture","SSP1",116.125000776779,12.445000776779,-0.30612181343467,0.0997654718086558,0.093161301775869,0.122241597942263,0.169811320754717,0.27383489163065,0
