"","Study","ScenYear","Model","Scope","Scenario..author.code.","Cropland.scope","Initial_condition","Delta_initial","Cropland","Rum_meat_crop_feed_water","Dairy_crop_feed_water","Mon_feed_water","Plant_food_water","Yield","rstand"
"322","Muller et al. (2017)","2050","SOLm","Agriculture","50Conc_20Org_W50_CCyes","Agriculture",1354.61,-164.39,0.25768380365578,-0.486121434732993,-0.446291778628646,-0.656184315551501,0.416014465305809,0.234146341463415,2.34439426934768
"325","Muller et al. (2017)","2050","SOLm","Agriculture","100Conc_80Org","Agriculture",1354.61,-164.39,0.341923343046054,0.364103073114663,0.424654868077524,0.50678033024167,0.462300293682482,0.373170731707317,2.38202857050412
"340","Roos et al. (2017) with pasture","2050","Roos et al. (2017) with pasture","Agriculture","ART HD + PASTURE","Agriculture",1560,41,0.253871520944794,-1,5.33397240791341,-1,0.407516292302009,0.0431856224990232,-0.839147832703627
"342","Roos et al. (2017) with pasture","2050","Roos et al. (2017) with pasture","Agriculture","PBE HD + PASTURE","Agriculture",1560,41,0.389715421005968,-1,-1,-1,0.630445796673,0.0431856224990232,1.95304919906995
"344","Roos et al. (2017) with pasture","2050","Roos et al. (2017) with pasture","Agriculture","EL HD + PASTURE","Agriculture",1560,41,0.371543684652313,-1,-1,-0.869484704518807,0.508177346167992,0.0431856224990232,2.32846157508244
"345","Roos et al. (2017) with pasture","2050","Roos et al. (2017) with pasture","Agriculture","WR: INT PD + PASTURE","Agriculture",1560,41,0.481963083121676,10.3571843678908,1.29477301667298,0.704264859025837,0.418891657663435,0,-1.67632470735104
"349","Roos et al. (2017) with pasture","2050","Roos et al. (2017) with pasture","Agriculture","WR: IDA PD + PASTURE","Agriculture",1560,41,0.50908468841419,0.811215384666649,5.20047864975624,1.37104900282825,0.418891657663435,0,-1.18433758094982
"353","Roos et al. (2017) with pasture","2050","Roos et al. (2017) with pasture","Agriculture","WR: PBE PD + PASTURE","Agriculture",1560,41,0.20381845197255,-1,-1,-1,0.724477264664653,0,-1.06287247634601
"355","Roos et al. (2017) with pasture","2050","Roos et al. (2017) with pasture","Agriculture","WR: EL PD + PASTURE","Agriculture",1560,41,0.118683718209161,-1,-1,-0.480550132948666,0.516890153155653,0,-1.35036297452007
"360","Roos et al. (2017) with pasture","2050","Roos et al. (2017) with pasture","Agriculture","YGR: IDP HD + PASTURE","Agriculture",1560,41,0.143342880692751,0.867019998954835,5.33397240791341,-0.137860936993247,0.407516292302009,0.719233370307219,1.93769180783663
"362","Roos et al. (2017) with pasture","2050","Roos et al. (2017) with pasture","Agriculture","YGR: IDA HD + PASTURE","Agriculture",1560,41,0.218091889018028,0.867019998954835,5.33397240791341,0.355592488453775,0.407516292302009,0.719233370307219,2.28337681832498
"363","Roos et al. (2017) with pasture","2050","Roos et al. (2017) with pasture","Agriculture","YGR: ART PD + PASTURE","Agriculture",1560,41,-0.261940085072229,-1,5.70716097980401,-1,0.500065574761508,0.678530729004408,-2.33923013607076
"369","Roos et al. (2017) with pasture","2050","Roos et al. (2017) with pasture","Agriculture","YGR+WR INT PD + PASTURE","Agriculture",1560,41,0.0322706603151197,10.3571843678908,1.29477301667298,0.704264859025837,0.418891657663435,0.678530729004408,-1.38481087719448
