"","Study","ScenYear","Model","Scope","Scenario..author.code.","Cropland.scope","Initial_condition","Delta_initial","Cropland","Rum_meat_crop_feed_water","Dairy_crop_feed_water","Mon_feed_water","Plant_food_water","Yield"
"358","Roos et al. (2017) with pasture",2050,"Roos et al. (2017) with pasture","Agriculture","YGR: INT HD + PASTURE","Agriculture",1560,41,0.150460732130204,5.06075967262456,0.913270174763233,-0.125156785938348,0.407516292302009,0.719233370307219
"360","Roos et al. (2017) with pasture",2050,"Roos et al. (2017) with pasture","Agriculture","YGR: IDP HD + PASTURE","Agriculture",1560,41,0.143342880692751,0.867019998954835,5.33397240791342,-0.137860936993247,0.407516292302009,0.719233370307219
"362","Roos et al. (2017) with pasture",2050,"Roos et al. (2017) with pasture","Agriculture","YGR: IDA HD + PASTURE","Agriculture",1560,41,0.218091889018028,0.867019998954835,5.33397240791342,0.355592488453775,0.407516292302009,0.719233370307219
"363","Roos et al. (2017) with pasture",2050,"Roos et al. (2017) with pasture","Agriculture","YGR: ART PD + PASTURE","Agriculture",1560,41,-0.261940085072229,-1,5.70716097980401,-1,0.500065574761508,0.678530729004408
"366","Roos et al. (2017) with pasture",2050,"Roos et al. (2017) with pasture","Agriculture","YGR: PBE HD + PASTURE","Agriculture",1560,41,-0.0325025370654442,-1,-1,-1,0.630445796673,0.719233370307219
"368","Roos et al. (2017) with pasture",2050,"Roos et al. (2017) with pasture","Agriculture","YGR: EL HD + PASTURE","Agriculture",1560,41,-0.0300949029265998,-1,-1,-0.869484704518807,0.508177346167992,0.719233370307219
"369","Roos et al. (2017) with pasture",2050,"Roos et al. (2017) with pasture","Agriculture","YGR+WR INT PD + PASTURE","Agriculture",1560,41,0.0322706603151197,10.3571843678908,1.29477301667298,0.704264859025837,0.418891657663435,0.678530729004408
"375","Roos et al. (2017) with pasture",2050,"Roos et al. (2017) with pasture","Agriculture","YGR+WR ART HD + PASTURE","Agriculture",1560,41,-0.389153037491873,-1,4.84288038286848,-1,0.322208277512408,0.719233370307219
"381","Searchinger et al. (2018)",2050,"GlobAgri-WRR","Agriculture","Coordinated effort","Agriculture",1547,28,0.00258231260347269,0.840774529926113,1.3379885907284,0.340176850442403,0.465189716072132,0.245996751353849
"382","Searchinger et al. (2018)",2050,"GlobAgri-WRR","Agriculture","Highly ambitious","Agriculture",1547,28,-0.123699013849117,0.289362852995884,1.18084540767987,0.298229218915637,0.410726361727217,0.318432671081678
"383","Searchinger et al. (2018)",2050,"GlobAgri-WRR","Agriculture","Breakthrough technologies","Agriculture",1547,28,-0.260685002947771,0.24336267968408,1.10329822005376,0.252553364289847,0.367246459060557,0.469922737306843
"580","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-high yield_Diet-RICH+bau (0.7+G+HY+RICH+bau)","Agriculture",1341.34687562195,-177.65312437805,0.298972816044492,3.92642923815963,4.9425856459974,2.32048285989599,0.799382722110702,0.539325842696629
"582","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-FAO yield_Diet-RICH+bau (0.7+G+FAO+RICH+bau)","Agriculture",1341.34687562195,-177.65312437805,0.369204436321672,3.92642923815963,4.9425856459974,2.32048285989599,0.799382722110702,0.411985018726592
"583","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-high yield_Diet-RICH+mono (0.7+G+HY+RICH+mono)","Agriculture",1341.34687562195,-177.65312437805,0.400787076486688,-1,-1,6.75771472876453,0.799382722110702,0.539325842696629
"585","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-FAO yield_Diet-RICH+mono (0.7+G+FAO+RICH+mono)","Agriculture",1341.34687562195,-177.65312437805,0.471779648335861,-1,-1,6.75771472876453,0.799382722110702,0.411985018726592
"587","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-yield gap closed_Diet-BAU+rumi (0.7+G+YGC+BAU+rumi)","Agriculture",1341.34687562195,-177.65312437805,0.245610552287966,4.88760398458447,3.56060406937877,-1,0.719453346702561,0.771535580524345
"598","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-yield gap closed_Diet-MEAT+bau (0.7+G+YGC+MEAT+bau)","Agriculture",1341.34687562195,-177.65312437805,0.0798735532101183,1.47527016968336,3.85104399002227,1.16738323825382,0.340853703311647,0.771535580524345
"602","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-yield gap closed_Diet-MEAT+mono (0.7+G+YGC+MEAT+mono)","Agriculture",1341.34687562195,-177.65312437805,0.204406511599638,-1,-1,4.44480990079633,0.340853703311647,0.771535580524345
"605","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-high yield_Diet-VEGET+rumi (0.7+G+HY+VEGET+rumi)","Agriculture",1341.34687562195,-177.65312437805,-0.284496484952221,-1,4.68538982570672,-1,0.544222259855059,0.539325842696629
"607","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-FAO yield_Diet-VEGET+rumi (0.7+G+FAO+VEGET+rumi)","Agriculture",1341.34687562195,-177.65312437805,-0.203175617410885,-1,4.68538982570672,-1,0.544222259855059,0.411985018726592
"608","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-organic yields_Diet-VEGET+rumi (0.7+G+Org+VEGET+rumi)","Agriculture",1341.34687562195,-177.65312437805,0.0177365658078539,-1,4.68538982570672,-1,0.544222259855059,0.119850187265918
"609","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-high yield_Diet-VEGET+bau (0.7+G+HY+VEGET+bau)","Agriculture",1341.34687562195,-177.65312437805,-0.229770295381375,-1,3.8969370651435,-0.557077128954005,0.544222259855059,0.539325842696629
"611","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-FAO yield_Diet-VEGET+bau (0.7+G+FAO+VEGET+bau)","Agriculture",1341.34687562195,-177.65312437805,-0.148293331236316,-1,3.8969370651435,-0.557077128954005,0.544222259855059,0.411985018726592
"612","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-organic yields_Diet-VEGET+bau (0.7+G+Org+VEGET+bau)","Agriculture",1341.34687562195,-177.65312437805,0.0713715700545043,-1,3.8969370651435,-0.557077128954005,0.544222259855059,0.119850187265918
"618","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-rough_Crop-yield gap closed_Diet-RICH+mono (0.7+R+YGC+RICH+mono)","Agriculture",1341.34687562195,-177.65312437805,0.344007797990703,-1,-1,4.76677875966666,0.799382722110702,0.771535580524345
"629","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-rough_Crop-yield gap closed_Diet-MEAT+bau (0.7+R+YGC+MEAT+bau)","Agriculture",1341.34687562195,-177.65312437805,-0.0928417396651681,-0.149750668333117,0.778855916921428,0.611147104452784,0.340853703311647,0.771535580524345
"632","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-rough_Crop-yield gap closed_Diet-MEAT+mono (0.7+R+YGC+MEAT+mono)","Agriculture",1341.34687562195,-177.65312437805,0.110676914340907,-1,-1,3.04745665239685,0.340853703311647,0.771535580524345
"635","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-rough_Crop-high yield_Diet-VEGET+rumi (0.7+R+HY+VEGET+rumi)","Agriculture",1341.34687562195,-177.65312437805,-0.357327819698622,-1,1.0848067657735,-1,0.544222259855059,0.539325842696629
"637","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-rough_Crop-FAO yield_Diet-VEGET+rumi (0.7+R+FAO+VEGET+rumi)","Agriculture",1341.34687562195,-177.65312437805,-0.279238932421732,-1,1.0848067657735,-1,0.544222259855059,0.411985018726592
"638","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-rough_Crop-organic yields_Diet-VEGET+rumi (0.7+R+Org+VEGET+rumi)","Agriculture",1341.34687562195,-177.65312437805,-0.0706907017051436,-1,1.0848067657735,-1,0.544222259855059,0.119850187265918
"1005","Weindl et al. (2017a)",2050,"MAgPIE 3","Agriculture","SSP2-Catch up+Static WP","Agriculture",1389,-130,0.352490535553469,1.60219677229781,2.26329473518762,0.685414580581262,0.39413928648416,0.40906935
