"","Model","Scenario","Year","CO2_LUC","delta_Pasture","delta_Cropland","delta_Forest_net","Carbon_price","C_price_cat","rstand"
"592","GCAM 5.2","NGFS1_Immediate 2C with CDR (Orderly, Rep)",2050,-685.0621793,-8.88025980000002,11.12047,3.67999999522084e-05,327.0018850329,"Yes",0.641386021842786
"594","GCAM 5.3","NGFS2_Delayed Transition",2020,6623.398001,-3.73700000000008,8.86999999999998,5.05239999999994,0,"No",1.39112027764145
"600","GCAM 5.3","NGFS2_Delayed Transition",2050,-387.9778286,0.343600000000151,-6.27159999999999,0.458000000000129,786.0282815,"Yes",1.38579513451768
"602","GCAM 5.3","NGFS2_Divergent Net Zero Policies",2020,6623.398001,-3.73700000000008,8.86999999999998,5.05239999999994,0,"No",1.39112027764145
"603","GCAM 5.3","NGFS2_Divergent Net Zero Policies",2025,4396.984121,1.09600000000009,-17.5216,2.19360000000011,228.07984815,"Yes",2.33835907205605
"605","GCAM 5.3","NGFS2_Divergent Net Zero Policies",2035,-55.84363898,-1.77720000000008,0.545599999999968,1.95039999999994,394.41479,"Yes",-0.946297837413474
"606","GCAM 5.3","NGFS2_Divergent Net Zero Policies",2040,-2282.257519,-0.556999999999971,-1.54079999999999,0.723200000000042,470.9555543,"Yes",-1.87607573739399
"607","GCAM 5.3","NGFS2_Divergent Net Zero Policies",2045,-4508.671399,0.311399999999958,-7.66680000000001,-1.42340000000008,827.4915187,"Yes",-2.08895029902043
"609","GCAM 5.3","NGFS2_Nationally Determined Contributions (NDCs)",2020,6589.671985,-3.61840000000011,8.55839999999998,4.91459999999988,0,"No",1.38363532639758
"610","GCAM 5.3","NGFS2_Nationally Determined Contributions (NDCs)",2025,5383.349881,-2.50119999999988,4.84299999999998,3.83180000000016,33.65302941,"Yes",1.27768782773485
"617","GCAM 5.3","NGFS2_Net-Zero 2050",2020,6627.812468,-3.75640000000003,8.91899999999996,5.07199999999993,0,"No",1.39162580200621
"618","GCAM 5.3","NGFS2_Net-Zero 2050",2025,3542.857063,-0.0538000000000466,-15.856,2.748,68.187703045,"Yes",1.37008343681532
"619","GCAM 5.3","NGFS2_Net-Zero 2050",2030,457.9016576,-2.86859999999997,1.28980000000001,2.60039999999999,108.14883464,"Yes",-1.53449811868218
"623","GCAM 5.3","NGFS2_Net-Zero 2050",2050,-4970.219476,2.89860000000008,-13.2752,-3.91319999999991,627.72901345,"Yes",-1.90770785504409
"629","IMAGE 3.0","CO_2Deg2020",2040,3735.45755231563,-1.40296000000026,16.86528,17.3135199999997,627.070800247543,"Yes",1.75129369259104
"638","IMAGE 3.0","CO_2Deg2030",2045,3604.85428604473,-0.792799999999988,20.01016,21.3192,754.573036431064,"Yes",2.17016040623368
"640","IMAGE 3.0","CO_BAU",2015,2464.5068945741,6.12664000000004,5.75372000000002,7.37732000000001,0,"No",-2.27496973193058
"646","IMAGE 3.0","CO_BAU",2045,3946.97605854392,2.16539999999995,8.19667999999997,6.59168000000004,0,"No",1.89154565918352
"647","IMAGE 3.0","CO_BAU",2050,3185.82338372026,2.48184000000028,1.92140000000004,1.78332000000041,0,"No",2.23359420541213
"751","IMAGE 3.0","EN_INDCi2030_800f",2050,2430.66513560457,-0.7988400000002,27.87392,31.8461199999998,815.919695394222,"Yes",1.4529549259502
"767","IMAGE 3.0","EN_NPi2020_1000",2050,3059.20434522624,-0.929279999999926,27.4743999999998,31.4398399999998,395.941571840366,"Yes",1.3153872998944
"775","IMAGE 3.0","EN_NPi2020_1000f",2050,4276.66450082398,-0.868119999999999,25.20572,29.30104,121.317877984366,"Yes",1.95170310965235
"839","IMAGE 3.0","EN_NPi2020_800",2050,2583.28049405058,-0.881640000000152,27.4122799999998,31.3066399999996,882.075346372132,"Yes",1.69761491803993
"856","IMAGE 3.0","EN_NoPolicy",2015,2464.5068945741,6.12664000000004,5.75372000000002,7.37732000000001,0,"No",-2.27496973193058
"862","IMAGE 3.0","EN_NoPolicy",2045,3946.97605854392,2.16539999999995,8.19667999999997,6.59168000000004,0,"No",1.89154565918352
"863","IMAGE 3.0","EN_NoPolicy",2050,3185.82338372026,2.48184000000028,1.92140000000004,1.78332000000041,0,"No",2.23359420541213
"864","IMAGE 3.0.1","ADVANCE_2020_1.5C-2100",2015,3098.36758701358,-2.54871999999996,3.61145999999999,-4.75469999999996,0,"No",-1.6694841660416
"870","IMAGE 3.0.1","ADVANCE_2020_1.5C-2100",2045,1228.25331997116,-1.18015999999998,26.48184,16.2832,0,"No",-1.39707568924804
"872","IMAGE 3.0.1","ADVANCE_2020_Med2C",2015,3152.46727097878,2.24224000000004,6.27921999999999,0.738260000000082,0,"No",-1.88770627217579
"879","IMAGE 3.0.1","ADVANCE_2020_Med2C",2050,2696.42819737072,1.35011999999997,4.85140000000001,5.65776000000005,0,"No",1.60792574862547
"880","IMAGE 3.0.1","ADVANCE_2020_WB2C",2015,3155.61472404875,0.555960000000232,5.38488000000002,-1.28459999999973,0,"No",-1.79847913237436
"886","IMAGE 3.0.1","ADVANCE_2020_WB2C",2045,3588.14397983587,-0.265920000000006,5.48247999999999,7.70912000000003,0,"No",1.77649972749382
"888","IMAGE 3.0.1","ADVANCE_2030_Med2C",2015,3152.46147939413,2.24224000000004,6.27921999999999,0.738260000000082,0,"No",-1.88771062380036
"896","IMAGE 3.0.1","ADVANCE_2030_WB2C",2015,3155.61188289402,0.555960000000232,5.38488000000002,-1.28459999999973,0,"No",-1.79848126713358
"903","IMAGE 3.0.1","ADVANCE_2030_WB2C",2050,2620.43605023603,0.0955600000000231,6.86080000000002,12.10236,0,"No",1.51190831467252
"904","IMAGE 3.0.1","ADVANCE_INDC",2015,3152.46147939413,2.24224000000004,6.27921999999999,0.738260000000082,0,"No",-1.88771062380036
"912","IMAGE 3.0.1","ADVANCE_NoPolicy",2015,2865.93965715395,3.96244000000006,7.23822,2.5661000000001,0,"No",-2.19766646038731
"916","IMAGE 3.0.1","ADVANCE_NoPolicy",2035,5297.10898844873,1.73967999999995,7.2627,2.97285999999999,0,"No",1.77983353477509
"917","IMAGE 3.0.1","ADVANCE_NoPolicy",2040,5107.75072422367,1.91923999999999,6.81996000000004,4.21488000000004,0,"No",2.20112293332053
"918","IMAGE 3.0.1","ADVANCE_NoPolicy",2045,4679.38108288072,2.83504000000003,5.5252,3.45440000000003,0,"No",2.462173226146
"920","IMAGE 3.0.1","ADVANCE_Reference",2015,3152.46147939413,2.24224000000004,6.27921999999999,0.738260000000082,0,"No",-1.88771062380036
"928","IMAGE 3.0.1","CD-LINKS_INDC2030i_1600",2015,2634.96519649141,2.69407999999985,7.48584000000001,6.83343999999988,0,"No",-2.30679667760122
"935","IMAGE 3.0.1","CD-LINKS_INDC2030i_1600",2050,3340.83834320876,1.10860000000002,7.51776,8.44036000000006,171.44712974753,"Yes",2.19721353092933
"936","IMAGE 3.0.1","CD-LINKS_INDCi",2015,2635.06682241076,2.64204,7.52889999999998,2.22901999999995,0,"No",-2.36078744296253
"944","IMAGE 3.0.1","CD-LINKS_NDC2030i_1000",2015,2807.80277426734,0.742519999999968,6.80128,4.81539999999991,0,"No",-2.09813932493399
"950","IMAGE 3.0.1","CD-LINKS_NDC2030i_1000",2045,2410.28990370092,-0.728639999999996,19.8854,21.11948,754.573036431064,"Yes",1.15785806679039
